"lingo";"stakeholder_key";"category_level1";"category_level2";"compoundgroup_name";"sampleobscore_key";"varname";"name";"label";"harmonisationlevel";"relatedinfo";"datatype_key";"samplegroup_key";"vartype_key";"sampleobscore_sort";"unit_key";"unit_name";"preferred_unit_name";"preferred_unit_key";"significantdecimals";"extensions";"formula";"zeroallowed";"min";"max";"p50";"p95";"chebi";"casnumber";"inchikey";"iupac";"refs";"molweight_grampermol";"projectname";"category_sort";"sampleobsbase_key";"sampleobsbase_name";"sampleobsbase_label"
"en";"Parc";"Exposure marker";"Flame retardants";"Flame retardants";"adp";"adp";"Anti-dechlorane plus";"Anti-DP";"HBM4EU";"parentcompound=Anti-dechlorane plus (Anti-DP) (casnumber=135821-74-8)";"decimal";"breast milk";"measured";10702;"µg/L";"µg/L";"µg/L";"µg/L";;"lip";"";;;;;;"";"135821-74-8";"";"";"";653.73;"Parc dummy project";1004;"Anti-dechlorane plus";"Anti-dechlorane plus";"Anti-DP"
"en";"FHBM";"Effect marker";"Liver function";"";"af";"af";"Alkaline Phosphatases";;"Vito";;"decimal";"blood";"measured";123;"IU/L";"IU/L";"IU/L";"IU/L";;"";"";0;;;;;"";"";"";"";"";;"ZWPFASPhase2";2003;"Alkaline Phosphatases";"Alkaline Phosphatases";""
"en";"Parc";"Exposure marker";"Mycotoxins";"Mycotoxins";"afbgua";"afbgua";"AFB-N7-guanine";;"HBM4EU";"parentcompound=Aflatoxin B1 (AFB1) (casnumber=1162-65-8)";"decimal";"urine";"measured";12201;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;;;"";"";"";"";"";;"HBM4EU Existing studies";10001;"AFB-N7-guanine";"AFB-N7-guanine";""
"en";"Parc";"Exposure marker";"Mycotoxins";"Mycotoxins";"afbone";"afbone";"Aflatoxin B1";"AFB1";"HBM4EU";"parentcompound=Aflatoxin B1 (AFB1) (casnumber=1162-65-8)";"decimal";"urine";"measured";12212;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;;;"";"1162-65-8";"";"";"";;"HBM4EU Existing studies;Parc Mixtures project";10001;"Aflatoxin B1";"Aflatoxin B1";"AFB1"
"en";"Parc";"Exposure marker";"Mycotoxins";"Mycotoxins";"afbone";"afbone";"Aflatoxin B1";"AFB1";"HBM4EU";"parentcompound=Aflatoxin B1 (AFB1) (casnumber=1162-65-8)";"decimal";"blood";"measured";12212;"µg/L";"µg/L";"µg/L";"µg/L";;"";"";;;;0.038;0.02;"";"1162-65-8";"";"";"";;"Parc Mixtures project";10001;"Aflatoxin B1";"Aflatoxin B1";"AFB1"
"en";"Parc";"Exposure marker";"Mycotoxins";"Mycotoxins";"afbtwo";"afbtwo";"Aflatoxin B2";"AFB2";"HBM4EU";"parentcompound=Aflatoxin B2 (AFB2) (casnumber=7220-81-7)";"decimal";"urine";"measured";12213;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;;;"";"7220-81-7";"";"";"";;"HBM4EU Existing studies;Parc Mixtures project";10001;"Aflatoxin B2";"Aflatoxin B2";"AFB2"
"en";"Parc";"Exposure marker";"Mycotoxins";"Mycotoxins";"afgone";"afgone";"Aflatoxin G1";"AFG1";"HBM4EU";"parentcompound=Aflatoxin G1 (AFG1) (casnumber=1165-39-5)";"decimal";"urine";"measured";12214;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;;;"";"1165-39-5";"";"";"";;"HBM4EU Existing studies;Parc Mixtures project";10001;"Aflatoxin G1";"Aflatoxin G1";"AFG1"
"en";"Parc";"Exposure marker";"Mycotoxins";"Mycotoxins";"afgtwo";"afgtwo";"Aflatoxin G2";"AFG2";"HBM4EU";"parentcompound=Aflatoxin G2 (AFG2) (casnumber=7241-98-7)";"decimal";"urine";"measured";12215;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;;;"";"7241-98-7";"";"";"";;"HBM4EU Existing studies;Parc Mixtures project";10001;"Aflatoxin G2";"Aflatoxin G2";"AFG2"
"en";"Parc";"Exposure marker";"Mycotoxins";"Mycotoxins";"afm";"afm";"Aflatoxin M1";"AFM1";"HBM4EU";"parentcompound=Aflatoxin B1 (AFB1) (casnumber=1162-65-8)";"decimal";"urine";"measured";12203;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;;;"";"6795-23-9";"";"";"";;"HBM4EU Existing studies;Parc Mixtures project";10001;"Aflatoxin M1";"Aflatoxin M1";"AFM1"
"en";"Parc";"Exposure marker";"Metals";"Metals";"ag";"ag";"Argentum";"Ag";"Parc";;"decimal";"urine";"measured";11580;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;0.00985428119545341;0.0520254341852631;"";"7440-22-4";"";"";"";;"Parc Mixtures project";1013;"Argentum";"Argentum";"Ag"
"en";"Parc";"Exposure marker";"Metals";"Metals";"ag";"ag";"Argentum";"Ag";"Parc";;"decimal";"blood";"measured";11580;"µg/L";"µg/L";"µg/L";"µg/L";;"";"";;;;0.0263085962789036;0.0600362331210716;"";"7440-22-4";"";"";"";;"Parc Mixtures project";1013;"Argentum";"Argentum";"Ag"
"en";"Parc";"Exposure marker";"Pesticides";"Pesticides";"ahch";"ahch";"Alpha-hexachlorocyclohexane";"α-HCH";"Parc";;"decimal";"blood";"measured";12551;"µg/L";"µg/L";"µg/L";"µg/L";;"";"";;;;;;"";"319-84-6";"";"";"https://en.wikipedia.org/wiki/Alpha-Hexachlorocyclohexane";;"Parc Mixtures project";1008;"Alpha-hexachlorocyclohexane";"Alpha-hexachlorocyclohexane";"α-HCH"
"en";"Parc";"Exposure marker";"Musks";"Musks";"ahtn";"ahtn";"Tonalide";"AHTN";"Parc";;"decimal";"blood";"measured";11800;"µg/L";"µg/L";"µg/L";"µg/L";;"";"";;;;0.000127;0.000244;"";"";"DNRJTBAOUJJKDY-UHFFFAOYSA-N";"";"";;"HBM4EU Existing studies;Parc Mixtures project";1018;"Tonalide";"Tonalide";"AHTN"
"en";"Parc";"Exposure marker";"Metals";"Metals";"al";"al";"Aluminium";"Al";"Parc";;"decimal";"urine";"measured";11534;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;2.84138363636364;7.62023863636364;"";"7429-90-5";"";"";"https://en.wikipedia.org/wiki/Aluminium";;"Parc Mixtures project";1013;"Aluminium";"Aluminium";"Al"
"en";"Parc";"Exposure marker";"Metals";"Metals";"al";"al";"Aluminium";"Al";"Parc";;"decimal";"blood";"measured";11534;"µg/L";"µg/L";"µg/L";"µg/L";;"";"";;;;13.6625050641677;25.0568061617414;"";"7429-90-5";"";"";"https://en.wikipedia.org/wiki/Aluminium";;"Parc Mixtures project";1013;"Aluminium";"Aluminium";"Al"
"en";"Parc";"Exposure marker";"Herbicides";"Herbicides";"alchlor";"alchlor";"2-Chloro-N-(2,6-diethylphenyl)-N-(methoxymethyl)acetamide";"Alachlor";"Parc";"parentcompound=2-Chloro-N-(2,6-diethylphenyl)-N-(methoxymethyl)acetamide (Alachlor) (casnumber=15972-60-8)";"decimal";"urine";"measured";19000;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;;;"";"15972-60-8";"XCSGPAVHZFQHGE-UHFFFAOYSA-N";"";"https://pubchem.ncbi.nlm.nih.gov/compound/122590370";;"Parc Mixtures project";3001;"2-Chloro-N-(2,6-diethylphenyl)-N-(methoxymethyl)acetamide";"2-Chloro-N-(2,6-diethylphenyl)-N-(methoxymethyl)acetamide";"Alachlor"
"en";"Parc";"Exposure marker";"Pesticides";"Pesticides";"aldrin";"aldrin";"Aldrin";"Aldrin";"Parc";"parentcompound=Aldrin (Aldrin) (casnumber=309-00-2)";"decimal";"blood";"measured";12527;"µg/L";"µg/L";"µg/L";"µg/L";;"";"";;;;0.01;0.01;"";"309-00-2";"QBYJBZPUGVGKQQ-SJJAEHHWSA-N";"";"https://pubchem.ncbi.nlm.nih.gov/compound/Aldrin";;"Parc Mixtures project";1008;"Aldrin";"Aldrin";"Aldrin"
"en";"Parc";"Exposure marker";"Herbicides";"Herbicides";"almer";"almer";"Alachlor mercapturate";;"Parc";"parentcompound=2-Chloro-N-(2,6-diethylphenyl)-N-(methoxymethyl)acetamide (Alachlor) (casnumber=15972-60-8)";"decimal";"urine";"measured";19001;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;;;"";"116482-92-9";"";"";"https://pubchem.ncbi.nlm.nih.gov/compound/Alachlor-mercapturate";;"Parc Mixtures project";3001;"Alachlor mercapturate";"Alachlor mercapturate";""
"en";"Parc";"Exposure marker";"Aprotic solvents";"Aprotic solvents";"amcc";"amcc";"N-Acetyl-S-(N-methylcarbamoyl)cysteine";"AMCC";"HBM4EU";"parentcompound=N,N-Dimethylformamide (DMF) (casnumber=68-12-2)";"decimal";"urine";"measured";13200;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;;;"";"103974-29-4";"";"";"";;"Parc Mixtures project";1010;"N-Acetyl-S-(N-methylcarbamoyl)cysteine";"N-Acetyl-S-(N-methylcarbamoyl)cysteine";"AMCC"
"en";"Parc";"Exposure marker";"Mycotoxins";"Mycotoxins";"ame";"ame";"Alternariol Monomethyl Ether";"AME";"HBM4EU";"parentcompound=Alternariol Monomethyl Ether (AME) (casnumber=23452-05-3)";"decimal";"urine";"measured";12216;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;0.027;0.202;"";"23452-05-3";"";"";"";;"HBM4EU Existing studies";10001;"Alternariol Monomethyl Ether";"Alternariol Monomethyl Ether";"AME"
"en";"Parc";"Exposure marker";"Pesticides";"Pesticides";"ampa";"ampa";"Aminomethylyphosphonic acid";"AMPA";"HBM4EU";"parentcompound=Glyphosate (GLY) (casnumber=1071-83-6)";"decimal";"urine";"measured";12500;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";0;;;0.085;0.396515;"";"1066-51-9";"MGRVRXRGTBOSHW-UHFFFAOYSA-N";"";"";111.04;"HBM4EU Aligned studies;HBM4EU Existing studies;Parc dummy project;Parc Mixtures project";1008;"Aminomethylyphosphonic acid";"Aminomethylyphosphonic acid";"AMPA"
"en";"Parc";"Exposure marker";"Polycyclic Aromatic Hydrocarbons (PAHs)";"Polycyclic Aromatic Hydrocarbons (PAHs)";"an";"an";"Anthracene";"AN";"HBM4EU";"parentcompound=Anthracene (AN) (casnumber=120-12-7)";"decimal";"urine";"measured";11220;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";0;;;;0.19;"";"120-12-7";"";"";"";;"HBM4EU Existing studies";1006;"Anthracene";"Anthracene";"AN"
"en";"Parc";"Exposure marker";"Mycotoxins";"Mycotoxins";"aoh";"aoh";"Alternariol";"AOH";"HBM4EU";"parentcompound=Alternariol (AOH) (casnumber=641-38-3)";"decimal";"urine";"measured";12217;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;;;"";"641-38-3";"";"";"";;"HBM4EU Existing studies";10001;"Alternariol";"Alternariol";"AOH"
"en";"Parc";"Effect marker";"Blood Lipids and lipid transport proteins";"";"apoa1";"apoa1";"Apolipoprotein-A1";"APOB";"HBM4EU";;"decimal";"blood";"measured";206;"g/L";"g/L";"g/L";"g/L";;"";"";0;;;1.49;1.8625;"";"";"";"";"";;"HBM4EU Aligned studies";2006;"Apolipoprotein-A1";"Apolipoprotein-A1";"APOB"
"en";"Parc";"Effect marker";"Blood Lipids and lipid transport proteins";"";"apoa2";"apoa2";"Lipoprotein A";;"HBM4EU";;"decimal";"blood";"measured";207;"µg/mL";"µg/mL";"µg/mL";"µg/mL";;"";"";0;;;89;671.25;"";"";"";"";"";;"HBM4EU Aligned studies";2006;"Lipoprotein A";"Lipoprotein A";""
"en";"Parc";"Effect marker";"Blood Lipids and lipid transport proteins";"";"apob100";"apob100";"Apolipoprotein B";;"HBM4EU";;"decimal";"blood";"measured";208;"g/L";"g/L";"g/L";"g/L";;"";"";0;;;0.78;1.09;"";"";"";"";"";;"HBM4EU Aligned studies";2006;"Apolipoprotein B";"Apolipoprotein B";""
"en";"FHBM";"Exposure marker";"Metals";"Metals";"asb";"asb";"Arsenobetaine";"AsB";"HBM4EU";"parentcompound=Arsenic (As) (casnumber=7440-38-2)";"decimal";"urine";"measured";11500;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";0;;;3.20833333333333;67.6613333333333;"";"";"SPTHHTGLGVZZRH-UHFFFAOYSA-N";"";"";178;"ZWPFASPhase2";1013;"Arsenobetaine";"Arsenobetaine";"AsB"
"en";"Parc";"Exposure marker";"Metals";"Metals";"asb";"asb";"Arsenobetaine";"AsB";"HBM4EU";"parentcompound=Arsenic (As) (casnumber=7440-38-2)";"decimal";"urine";"measured";11500;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";0;;;3.20833333333333;67.6613333333333;"";"";"SPTHHTGLGVZZRH-UHFFFAOYSA-N";"";"";178;"HBM4EU Aligned studies;HBM4EU Existing studies;Parc dummy project;Parc Mixtures project";1013;"Arsenobetaine";"Arsenobetaine";"AsB"
"en";"Parc";"Exposure marker";"Metals";"Metals";"asb";"asb";"Arsenobetaine";"AsB";"HBM4EU";"parentcompound=Arsenic (As) (casnumber=7440-38-2)";"decimal";"blood";"measured";11500;"µg/L";"µg/L";"µg/L";"µg/L";;"";"";;;;;;"";"";"SPTHHTGLGVZZRH-UHFFFAOYSA-N";"";"";178;"Parc dummy project";1013;"Arsenobetaine";"Arsenobetaine";"AsB"
"en";"Parc";"Exposure marker";"Metals";"Metals";"asb";"asb";"Arsenobetaine";"AsB";"HBM4EU";"parentcompound=Arsenic (As) (casnumber=7440-38-2)";"decimal";"cord blood";"measured";11500;"µg/L";"µg/L";"µg/L";"µg/L";;"";"";;;;;;"";"";"SPTHHTGLGVZZRH-UHFFFAOYSA-N";"";"";178;"Parc dummy project";1013;"Arsenobetaine";"Arsenobetaine";"AsB"
"en";"Parc";"Exposure marker";"Metals";"Metals";"asb";"asb";"Arsenobetaine";"AsB";"HBM4EU";"parentcompound=Arsenic (As) (casnumber=7440-38-2)";"decimal";"breast milk";"measured";11500;"µg/L";"µg/L";"µg/L";"µg/L";;"";"";;;;;;"";"";"SPTHHTGLGVZZRH-UHFFFAOYSA-N";"";"";178;"Parc dummy project";1013;"Arsenobetaine";"Arsenobetaine";"AsB"
"en";"FHBM";"Exposure marker";"Metals";"Metals";"asfive";"asfive";"Arsenic(V) acid";"As(V)";"HBM4EU";"parentcompound=Arsenic (As) (casnumber=7440-38-2)";"decimal";"urine";"measured";11501;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";0;;;0.172;0.68;"";"";"HAYXDMNJJFVXCI-UHFFFAOYSA-N";"";"";74.92;"ZWPFASPhase2";1013;"Arsenic(V) acid";"Arsenic(V) acid";"As(V)"
"en";"Parc";"Exposure marker";"Metals";"Metals";"asfive";"asfive";"Arsenic(V) acid";"As(V)";"HBM4EU";"parentcompound=Arsenic (As) (casnumber=7440-38-2)";"decimal";"urine";"measured";11501;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";0;;;0.172;0.68;"";"";"HAYXDMNJJFVXCI-UHFFFAOYSA-N";"";"";74.92;"HBM4EU Aligned studies;HBM4EU Existing studies;Parc dummy project;Parc Mixtures project";1013;"Arsenic(V) acid";"Arsenic(V) acid";"As(V)"
"en";"Parc";"Exposure marker";"Metals";"Metals";"asfive";"asfive";"Arsenic(V) acid";"As(V)";"HBM4EU";"parentcompound=Arsenic (As) (casnumber=7440-38-2)";"decimal";"blood";"measured";11501;"µg/L";"µg/L";"µg/L";"µg/L";;"";"";;;;;;"";"";"HAYXDMNJJFVXCI-UHFFFAOYSA-N";"";"";74.92;"Parc dummy project";1013;"Arsenic(V) acid";"Arsenic(V) acid";"As(V)"
"en";"Parc";"Exposure marker";"Metals";"Metals";"asfive";"asfive";"Arsenic(V) acid";"As(V)";"HBM4EU";"parentcompound=Arsenic (As) (casnumber=7440-38-2)";"decimal";"cord blood";"measured";11501;"µg/L";"µg/L";"µg/L";"µg/L";;"";"";;;;;;"";"";"HAYXDMNJJFVXCI-UHFFFAOYSA-N";"";"";74.92;"Parc dummy project";1013;"Arsenic(V) acid";"Arsenic(V) acid";"As(V)"
"en";"Parc";"Exposure marker";"Metals";"Metals";"asfive";"asfive";"Arsenic(V) acid";"As(V)";"HBM4EU";"parentcompound=Arsenic (As) (casnumber=7440-38-2)";"decimal";"breast milk";"measured";11501;"µg/L";"µg/L";"µg/L";"µg/L";;"";"";;;;;;"";"";"HAYXDMNJJFVXCI-UHFFFAOYSA-N";"";"";74.92;"Parc dummy project";1013;"Arsenic(V) acid";"Arsenic(V) acid";"As(V)"
"en";"FHBM";"Exposure marker";"Metals";"Metals";"asthree";"asthree";"Arsenic(III) acid";"As(III)";"HBM4EU";"parentcompound=Arsenic (As) (casnumber=7440-38-2)";"decimal";"urine";"measured";11502;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";0;;;0.285;0.829833333333333;"";"";"LULLIKNODDLMDQ-UHFFFAOYSA-N";"";"";74.92;"ZWPFASPhase2";1013;"Arsenic(III) acid";"Arsenic(III) acid";"As(III)"
"en";"Parc";"Exposure marker";"Metals";"Metals";"asthree";"asthree";"Arsenic(III) acid";"As(III)";"HBM4EU";"parentcompound=Arsenic (As) (casnumber=7440-38-2)";"decimal";"urine";"measured";11502;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";0;;;0.285;0.829833333333333;"";"";"LULLIKNODDLMDQ-UHFFFAOYSA-N";"";"";74.92;"HBM4EU Aligned studies;HBM4EU Existing studies;Parc dummy project;Parc Mixtures project";1013;"Arsenic(III) acid";"Arsenic(III) acid";"As(III)"
"en";"Parc";"Exposure marker";"Metals";"Metals";"asthree";"asthree";"Arsenic(III) acid";"As(III)";"HBM4EU";"parentcompound=Arsenic (As) (casnumber=7440-38-2)";"decimal";"blood";"measured";11502;"µg/L";"µg/L";"µg/L";"µg/L";;"";"";;;;;;"";"";"LULLIKNODDLMDQ-UHFFFAOYSA-N";"";"";74.92;"Parc dummy project";1013;"Arsenic(III) acid";"Arsenic(III) acid";"As(III)"
"en";"Parc";"Exposure marker";"Metals";"Metals";"asthree";"asthree";"Arsenic(III) acid";"As(III)";"HBM4EU";"parentcompound=Arsenic (As) (casnumber=7440-38-2)";"decimal";"cord blood";"measured";11502;"µg/L";"µg/L";"µg/L";"µg/L";;"";"";;;;;;"";"";"LULLIKNODDLMDQ-UHFFFAOYSA-N";"";"";74.92;"Parc dummy project";1013;"Arsenic(III) acid";"Arsenic(III) acid";"As(III)"
"en";"Parc";"Exposure marker";"Metals";"Metals";"asthree";"asthree";"Arsenic(III) acid";"As(III)";"HBM4EU";"parentcompound=Arsenic (As) (casnumber=7440-38-2)";"decimal";"breast milk";"measured";11502;"µg/L";"µg/L";"µg/L";"µg/L";;"";"";;;;;;"";"";"LULLIKNODDLMDQ-UHFFFAOYSA-N";"";"";74.92;"Parc dummy project";1013;"Arsenic(III) acid";"Arsenic(III) acid";"As(III)"
"en";"Parc";"Exposure marker";"Herbicides";"Herbicides";"atmer";"atmer";"Atrazine mercapturate";;"Parc";"parentcompound=Atrazine (casnumber=1912-24-9)";"decimal";"urine";"measured";19002;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;0.5;0.5;"";"138722-96-0";"JYBXBVCDDNBLJW-VIFPVBQESA-N";"";"https://pubchem.ncbi.nlm.nih.gov/compound/Atrazine-mercapturate";;"Parc Mixtures project";3001;"Atrazine mercapturate";"Atrazine mercapturate";""
"en";"Parc";"Exposure marker";"Herbicides";"Herbicides";"atrz";"atrz";"Atrazine";;"Parc";"parentcompound=Atrazine (casnumber=1912-24-9)";"decimal";"urine";"measured";19003;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;0.5;0.5;"";"1912-24-9";"MXWJVTOOROXGIU-UHFFFAOYSA-N";"";"https://pubchem.ncbi.nlm.nih.gov/compound/Atrazine";;"Parc Mixtures project";3001;"Atrazine";"Atrazine";""
"en";"Parc";"Exposure marker";"Metals";"Metals";"au";"au";"Gold";"Au";"Parc";;"decimal";"urine";"measured";11535;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;;9.42;"";"7440-57-5";"";"";"https://en.wikipedia.org/wiki/Gold";;"Parc Mixtures project";1013;"Gold";"Gold";"Au"
"en";"Parc";"Exposure marker";"Mycotoxins";"Mycotoxins";"azal";"azal";"α-zearalanol";"α-ZAL";"HBM4EU";"parentcompound=Zearalenone (ZEN) (casnumber=17924-92-4)";"decimal";"urine";"measured";12218;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;;;"";"26538-44-3";"";"";"";;"HBM4EU Existing studies";10001;"Α-zearalanol";"α-zearalanol";"α-ZAL"
"en";"Parc";"Exposure marker";"Mycotoxins";"Mycotoxins";"azel";"azel";"α-zearalenol Free";"α-ZEL";"HBM4EU";"parentcompound=Zearalenone (ZEN) (casnumber=17924-92-4)";"decimal";"urine";"measured";12218;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;0.052;0.138;"";"36455-72-8";"";"";"";;"HBM4EU Existing studies";10001;"Α-zearalenol";"α-zearalenol";"α-ZEL"
"en";"Parc";"Exposure marker";"Metals";"Metals";"b";"b";"Boron";"B";"Parc";;"decimal";"urine";"measured";11533;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;970;3000;"";"7440-42-8";"";"";"https://en.wikipedia.org/wiki/Boron";;"Parc Mixtures project";1013;"Boron";"Boron";"B"
