"sampleobscore_id";"sampleobscore_key";"varname";"sort";"vartype_key";"datatype_key";"relatedvarnames";"vartypedetail_key";"label_en";"name_en";"label_nl";"name_nl";"zeroallowed";"significantdecimals";"formula";"samplegroup_key";"unit_key";"extensions";"sampleobsprop_id"
29010;"bpfoa";"bpfoa";10658;"derived";"decimal";"lbpfoa;pfoa";"derived formula";"B-PFOA";"Branched Perfluorooctanoic acid";"B-PFOA";"Vertakt Perfluoro-n-octaanzuur";;;"lbpfoa [µg/L] - pfoa [µg/L]";"blood";"µg/L";"";"50525"
29010;"bpfoa";"bpfoa";10658;"derived";"decimal";"lbpfoa;pfoa";"derived formula";"B-PFOA";"Branched Perfluorooctanoic acid";"B-PFOA";"Vertakt Perfluoro-n-octaanzuur";;;"lbpfoa [µg/L] - pfoa [µg/L]";"urine";"µg/L";"crt;sg";"50524"
29011;"bpfoa_perc";"bpfoa_perc";10660;"derived";"decimal";"bpfoa;lbpfoa";"derived formula";"%B-PFOA";"Percentage Branched Perfluorooctanoic acid";"%B-PFOA";"Percentage Vertakt Perfluoro-n-octaanzuur";;;"round( bpfoa [µg/L] / lbpfoa [µg/L] * 100,2)";"urine";"µg/L";"crt;sg";"50526"
29011;"bpfoa_perc";"bpfoa_perc";10660;"derived";"decimal";"bpfoa;lbpfoa";"derived formula";"%B-PFOA";"Percentage Branched Perfluorooctanoic acid";"%B-PFOA";"Percentage Vertakt Perfluoro-n-octaanzuur";;;"round( bpfoa [µg/L] / lbpfoa [µg/L] * 100,2)";"blood";"%";"";"50527"
29012;"bpfos";"bpfos";10661;"derived";"decimal";"lbpfos;pfos";"derived formula";"B-PFOS";"Branched Perfluorooctane sulfonic acid";"B-PFOS";"Vertakt Perfluoro-n-octaansulfonzuur";;;"lbpfos [µg/L] - pfos [µg/L]";"blood";"µg/L";"";"50529"
29012;"bpfos";"bpfos";10661;"derived";"decimal";"lbpfos;pfos";"derived formula";"B-PFOS";"Branched Perfluorooctane sulfonic acid";"B-PFOS";"Vertakt Perfluoro-n-octaansulfonzuur";;;"lbpfos [µg/L] - pfos [µg/L]";"urine";"µg/L";"crt;sg";"50528"
29013;"bpfos_perc";"bpfos_perc";10663;"derived";"decimal";"bpfos;lbpfos";"derived formula";"% B-PFOS";"Percentage Branched Perfluorooctane sulfonic acid";"%B-PFOS";"Percentage Vertakt Perfluoro-n-octaansulfonzuur";;;"round( bpfos [µg/L] / lbpfos [µg/L] * 100,2)";"blood";"%";"";"50531"
29013;"bpfos_perc";"bpfos_perc";10663;"derived";"decimal";"bpfos;lbpfos";"derived formula";"% B-PFOS";"Percentage Branched Perfluorooctane sulfonic acid";"%B-PFOS";"Percentage Vertakt Perfluoro-n-octaansulfonzuur";;;"round( bpfos [µg/L] / lbpfos [µg/L] * 100,2)";"urine";"µg/L";"crt;sg";"50530"
29014;"bpfteda";"bpfteda";10655;"derived";"decimal";"lbpfteda;pfteda";"derived formula";"B-PFTeDA";"Branched Perfluorotetradecanoic acid";"B-PFTeDA";"Vertakt Perfluoro-n-tetradecaanzuur";;;"lbpfteda [µg/L] - pfteda [µg/L]";"urine";"µg/L";"crt;sg";"50535"
29014;"bpfteda";"bpfteda";10655;"derived";"decimal";"lbpfteda;pfteda";"derived formula";"B-PFTeDA";"Branched Perfluorotetradecanoic acid";"B-PFTeDA";"Vertakt Perfluoro-n-tetradecaanzuur";;;"lbpfteda [µg/L] - pfteda [µg/L]";"blood";"µg/L";"";"50536"
29015;"bpftrda";"bpftrda";10655;"derived";"decimal";"lbpftrda;pftrda";"derived formula";"B-PFTrDA";"BranchedPerfluorotridecanoic acid";"B-PFTrDA";"Vertakt Perfluoro-n-tridecaanzuur";;;"lbpftrda [µg/L] - pftrda [µg/L]";"blood";"µg/L";"";"50538"
29015;"bpftrda";"bpftrda";10655;"derived";"decimal";"lbpftrda;pftrda";"derived formula";"B-PFTrDA";"BranchedPerfluorotridecanoic acid";"B-PFTrDA";"Vertakt Perfluoro-n-tridecaanzuur";;;"lbpftrda [µg/L] - pftrda [µg/L]";"urine";"µg/L";"crt;sg";"50537"
29016;"tcbd";"tcbd";15050;"measured";"decimal";;"measured";"2,3,7,8-TCDD";"2,3,7,8-tetrachlorodibenzodioxin";"2,3,7,8-TCDD";"2,3,7,8-tetrachloordibenzo-p-dioxine";;;"";"blood";"µg/L";"lip";"52420"
29017;"twothreedcha";"twothreedcha";11426;"measured";"decimal";;"measured";"2,3DChA";"2,3-Dichloroaniline";"";"2,3-dichlooraniline";;;"";"urine";"µg/L";"crt;sg";"52563"
29018;"tcp245";"tcp245";12517;"measured";"decimal";;"measured";"2,4,5-TCP";"2,4,5-trichlorophenol";"";"2,4,5-trichloorfenol";;;"";"urine";"µg/L";"crt;sg";"52426"
29018;"tcp245";"tcp245";12517;"measured";"decimal";;"measured";"2,4,5-TCP";"2,4,5-trichlorophenol";"";"2,4,5-trichloorfenol";;;"";"blood";"µg/L";"";"52427"
29019;"dehp";"dehp";100170;"derived";"decimal";"mehp;oxomehp;ohmehp";"derived formula";"";"Sum DEHP metabolites";"";"Som DEHP metabolieten";;;"mehp [ng/g] + oxomehp [ng/g] + ohmehp [ng/g]";"nail";"ng/g";"";"50733"
29019;"dehp";"dehp";100170;"derived";"decimal";"mehp;oxomehp;ohmehp";"derived formula";"";"Sum DEHP metabolites";"";"Som DEHP metabolieten";;;"mehp [µg/L] + oxomehp [µg/L] + ohmehp [µg/L]";"urine";"µg/L";"crt;sg";"50732"
29020;"tbph";"tbph";10709;"measured";"decimal";;"measured";"2,4,6-TBP";"2,4,6-Tribromophenol";"";"2,4,6-tribroomfenol";;;"";"urine";"µg/L";"crt;sg";"52411"
29020;"tbph";"tbph";10709;"measured";"decimal";;"measured";"2,4,6-TBP";"2,4,6-Tribromophenol";"";"2,4,6-tribroomfenol";;;"";"breast milk";"µg/L";"lip";"52409"
29020;"tbph";"tbph";10709;"measured";"decimal";;"measured";"2,4,6-TBP";"2,4,6-Tribromophenol";"";"2,4,6-tribroomfenol";0;;"";"blood";"µg/L";"lip";"52410"
29021;"summinch";"summinch";10500;"derived";"decimal";"mcoch;mhnch";"derived formula";"";"mcoch + mhnch";"";"mcoch + mhnch";;;"mcoch [µg/L] + mhnch [µg/L]";"urine";"µg/L";"mol;crt;sg";"52347"
29022;"ias";"ias";11654;"derived";"decimal";"asthree;asfive";"derived formula";"";"asthree + asfive";"";"asthree + asfive";;;"asthree [µg/L] + asfive [µg/L]";"cord blood";"µg/L";"mol;";"51094"
29022;"ias";"ias";11654;"derived";"decimal";"asthree;asfive";"derived formula";"";"asthree + asfive";"";"asthree + asfive";;;"asthree [µg/L] + asfive [µg/L]";"blood";"µg/L";"mol;";"51093"
29022;"ias";"ias";11654;"derived";"decimal";"asthree;asfive";"derived formula";"";"asthree + asfive";"";"asthree + asfive";;;"asthree [µg/L] + asfive [µg/L]";"breast milk";"µg/L";"mol;";"51095"
29022;"ias";"ias";11654;"derived";"decimal";"asthree;asfive";"derived formula";"";"asthree + asfive";"";"asthree + asfive";;;"asthree [µg/L] + asfive [µg/L]";"urine";"µg/L";"mol;crt;sg";"51092"
29023;"lipid_enz_harm";"lipid_enz_harm";1204;"derived";"decimal";"trigl;chol";"derived formula";"";"Blood lipid by enzymatic calculation";"";"Bloedvet enzymatisch berekend";;;"(1 * trigl [mg/dL] ) + (2.27 * chol [mg/dL]) + 62.3";"blood";"mg/dL";"";"51351"
29023;"lipid_enz_harm";"lipid_enz_harm";1204;"derived";"decimal";"trigl;chol";"derived formula";"";"Blood lipid by enzymatic calculation";"";"Bloedvet enzymatisch berekend";;;"(1 * trigl [mg/dL] ) + (2.27 * chol [mg/dL]) + 62.3";"cord blood";"mg/dL";"";"51352"
29024;"lpfhxs_perc";"lpfhxs_perc";10656;"derived";"decimal";"pfhxs;lbpfhxs";"derived formula";"%L-PFHxS";"Percentage Linear Perfluorohexane sulfonic acid";"%PFHxS";"Percentage Lineair Perfluoro-n-hexaansulfonzuur";;;"round( pfhxs [µg/L] / lbpfhxs [µg/L] * 100,2)";"blood";"%";"";"51354"
29024;"lpfhxs_perc";"lpfhxs_perc";10656;"derived";"decimal";"pfhxs;lbpfhxs";"derived formula";"%L-PFHxS";"Percentage Linear Perfluorohexane sulfonic acid";"%PFHxS";"Percentage Lineair Perfluoro-n-hexaansulfonzuur";;;"round( pfhxs [µg/L] / lbpfhxs [µg/L] * 100,2)";"urine";"µg/L";"crt;sg";"51353"
29025;"lpfoa_perc";"lpfoa_perc";10659;"derived";"decimal";"pfoa;lbpfoa";"derived formula";"% L-PFOA";"Percentage Linear Perfluorooctanoic acid";"%PFOA";"Percentage Lineair Perfluoro-n-octaanzuur";;;"round(pfoa [µg/L] / lbpfoa [µg/L] *100,2)";"urine";"µg/L";"crt;sg";"51355"
29025;"lpfoa_perc";"lpfoa_perc";10659;"derived";"decimal";"pfoa;lbpfoa";"derived formula";"% L-PFOA";"Percentage Linear Perfluorooctanoic acid";"%PFOA";"Percentage Lineair Perfluoro-n-octaanzuur";;;"round(pfoa [µg/L] / lbpfoa [µg/L] *100,2)";"blood";"%";"";"51356"
29026;"dcpa";"dcpa";12511;"measured";"decimal";;"measured";"";"2,4-dichlorophenoxyacetic acid";"2,4-D";"2,4-dichloorfenoxyazijnzuur";;;"";"blood";"µg/L";"";"50713"
29026;"dcpa";"dcpa";12511;"measured";"decimal";;"measured";"";"2,4-dichlorophenoxyacetic acid";"2,4-D";"2,4-dichloorfenoxyazijnzuur";;;"";"urine";"µg/L";"crt;sg";"50712"
29027;"mhghg";"mhghg";11654;"derived";"decimal";"mhg;hg";"derived formula";"";"Ratio of MeHg and Hg";"";"Ratio van MeHg en Hg";;;"mhg [µg/L] / hg [µg/L]";"blood";"-";"";"51444"
29027;"mhghg";"mhghg";11654;"derived";"decimal";"mhg;hg";"derived formula";"";"Ratio of MeHg and Hg";"";"Ratio van MeHg en Hg";;;"mhg [ng/g] / hg [ng/g]";"hair";"-";"";"51447"
29027;"mhghg";"mhghg";11654;"derived";"decimal";"mhg;hg";"derived formula";"";"Ratio of MeHg and Hg";"";"Ratio van MeHg en Hg";;;"mhg [µg/L] / hg [µg/L]";"urine";"-";"crt;sg";"51443"
29027;"mhghg";"mhghg";11654;"derived";"decimal";"mhg;hg";"derived formula";"";"Ratio of MeHg and Hg";"";"Ratio van MeHg en Hg";;;"mhg [µg/L] / hg [µg/L]";"cord blood";"-";"";"51446"
29027;"mhghg";"mhghg";11654;"derived";"decimal";"mhg;hg";"derived formula";"";"Ratio of MeHg and Hg";"";"Ratio van MeHg en Hg";;;"mhg [µg/L] / hg [µg/L]";"breast milk";"-";"";"51445"
29028;"fourtda";"fourtda";11429;"measured";"decimal";;"measured";"2,4 TDA";"2,4-toluenediamine";"";"2,4-tolueendiamine";;;"";"urine";"µg/L";"crt;sg";"50972"
29029;"twofivedcha";"twofivedcha";11423;"measured";"decimal";;"measured";"2,5DChA";"2,5-Dichloroaniline";"";"2,5-dichlooraniline";;;"";"urine";"µg/L";"crt;sg";"52554"
29030;"sumpcb";"sumpcb";150057;"derived";"decimal";"pcb138;pcb153;pcb180";"derived formula";"";"pcb138 + pcb153 + pcb180";"";"pcb138 + pcb153 + pcb180";;;"pcb138 [µg/L] + pcb153 [µg/L] + pcb180 [µg/L]";"blood";"µg/L";"lip";"52362"
29031;"sumpfhxspfos";"sumpfhxspfos";10651;"derived";"decimal";"pfhxs;pfos";"derived formula";"";"pfhxs + pfos";"";"pfhxs + pfos";;;"pfhxs [µg/L] + pfos [µg/L]";"cord blood";"µg/L";"mol;";"52365"
29031;"sumpfhxspfos";"sumpfhxspfos";10651;"derived";"decimal";"pfhxs;pfos";"derived formula";"";"pfhxs + pfos";"";"pfhxs + pfos";;;"pfhxs [µg/L] + pfos [µg/L]";"blood";"µg/L";"mol;";"52364"
29031;"sumpfhxspfos";"sumpfhxspfos";10651;"derived";"decimal";"pfhxs;pfos";"derived formula";"";"pfhxs + pfos";"";"pfhxs + pfos";;;"pfhxs [µg/L] + pfos [µg/L]";"urine";"µg/L";"mol;crt;sg";"52363"
29032;"perclpfos";"lpfos_perc";10662;"derived";"decimal";"pfos;lbpfos";"derived formula";"%L-PFOS";"Percentage Linear Perfluorooctane sulfonic acid";"%L-PFOS";"Percentage Lineair Perfluoro-n-octaansulfonzuur";;;"round( pfos [µg/L] / lbpfos [µg/L] * 100,2)";"urine";"µg/L";"crt;sg";"51794"
29032;"perclpfos";"lpfos_perc";10662;"derived";"decimal";"pfos;lbpfos";"derived formula";"%L-PFOS";"Percentage Linear Perfluorooctane sulfonic acid";"%L-PFOS";"Percentage Lineair Perfluoro-n-octaansulfonzuur";;;"round( pfos [µg/L] / lbpfos [µg/L] * 100,2)";"blood";"%";"";"51795"
29033;"phean";"phean";110352;"derived";"decimal";"an;phe";"derived formula";"";"Anthracene + Phenanthrene";"";"Anthracene + Phenanthrene";0;;"an [µg/L] + phe [µg/L]";"urine";"µg/L";"crt;sg";"52202"
29034;"ppddtppdde";"ppddtppdde";150058;"derived";"decimal";"ppddt;ppdde";"derived formula";"";"Ratio of p,p'-DDT and p,p'-DDE";"";"Ratio p,p'-DDT p,p'-DDE";;;"ppddt [µg/L] / ppdde [µg/L]";"cord blood";"-";"lip";"52213"
29034;"ppddtppdde";"ppddtppdde";150058;"derived";"decimal";"ppddt;ppdde";"derived formula";"";"Ratio of p,p'-DDT and p,p'-DDE";"";"Ratio p,p'-DDT p,p'-DDE";;;"ppddt [µg/L] / ppdde [µg/L]";"blood";"-";"lip";"52212"
29035;"ratiocd4cd8plus";"ratiocd4cd8plus";100007;"derived";"decimal";"cd4plus;cd8plus";"derived formula";"CD4+ / CD8+";"CD4+ / CD8+";"CD4+ / CD8+";"CD4+ / CD8+";;;"cd4plus [amount/µL] / cd8plus [amount/µL]";"blood";"-";"";"52226"
29036;"ratioft3ft4";"ratioft3ft4";1501;"derived";"decimal";"ft3;ft4";"derived formula";"ft3/ft4";"Ratio ft3 and ft4";"ft3/ft4";"Ratio ft3 en ft4";;;"ft3 [ng/dL] / ft4 [ng/dL]";"blood";"-";"";"52227"
29037;"rationeutlymp";"rationeutlymp";100005;"derived";"decimal";"neutro;lympho";"derived formula";"Neutro / Lympho";"Neutrophil segments / Lymphocytes";"Neutro / Lympho";"Neutrofiele segmenten / Lymphocyten";;;"neutro [amount/µL] / lympho [amount/µL]";"blood";"-";"";"52228"
29038;"ratiotromblymp";"ratiotromblymp";100006;"derived";"decimal";"thrombo;lympho";"derived formula";"Thrombo / Lympho";"Thrombocytes / Lymphocytes";"Thrombo / Lympho";"Thrombocyten / Lymphocyten";;;"thrombo [amount/µL] / lympho [amount/µL]";"blood";"-";"";"52229"
29039;"sumglyphampa";"sumglyphampa";12506;"derived";"decimal";"glyp;ampa";"derived formula";"";"glyp + ampa";"";"glyp + ampa";;;"glyp [µg/L] + ampa [µg/L]";"urine";"µg/L";"mol;crt;sg";"52332"
29040;"sumhbcdag";"sumhbcdag";10708;"derived";"decimal";"hbcda;hbcdg";"derived formula";"";"hbcda + hbcdg";"";"hbcda + hbcdg";;;"hbcda [µg/L] + hbcdg [µg/L]";"urine";"µg/L";"mol;crt;sg";"52334"
29040;"sumhbcdag";"sumhbcdag";10708;"derived";"decimal";"hbcda;hbcdg";"derived formula";"";"hbcda + hbcdg";"";"hbcda + hbcdg";;;"hbcda [µg/L] + hbcdg [µg/L]";"breast milk";"µg/L";"mol;lip";"52335"
29040;"sumhbcdag";"sumhbcdag";10708;"derived";"decimal";"hbcda;hbcdg";"derived formula";"";"hbcda + hbcdg";"";"hbcda + hbcdg";;;"hbcda [µg/L] + hbcdg [µg/L]";"blood";"µg/L";"mol;lip";"52333"
29041;"shphe";"shphe";110202;"derived";"decimal";"onehphe;twohphe;threehphe;fourhphe;ninehphe";"derived formula";"";"onehphe + twohphe + threehphe + fourhphe + ninehphe";"";"onehphe + twohphe + threehphe + fourhphe + ninehphe";0;;"onehphe [µg/L] + twohphe [µg/L] + threehphe [µg/L] + fourhphe [µg/L] + ninehphe [µg/L]";"urine";"µg/L";"mol;crt;sg";"52256"
29042;"stwoninehphe";"stwoninehphe";110245;"derived";"decimal";"twohphe;ninehphe";"derived formula";"";"twohphe + ninehphe";"";"twohphe + ninehphe";0;;"twohphe [µg/L] + ninehphe [µg/L]";"urine";"µg/L";"mol;crt;sg";"52311"
29043;"sumhpheone";"sumhpheone";110205;"derived";"decimal";"onehphe;twohphe;fourhphe";"derived formula";"";"onehphe + twohphe + fourhphe";"";"onehphe + twohphe + fourhphe";0;;"onehphe [µg/L] + twohphe [µg/L] + fourhphe [µg/L]";"urine";"µg/L";"mol;crt;sg";"52339"
29044;"stwothreehphe";"stwothreehphe";11260;"derived";"decimal";"twohphe;threehphe";"derived formula";"";"twohphe + threehphe";"";"twohphe + threehphe";0;;"twohphe [µg/L] + threehphe [µg/L]";"urine";"µg/L";"mol;crt;sg";"52313"
29045;"sumastfmma";"sumastfmma";11711;"derived";"decimal";"asthree;asfive;mma";"derived formula";"";"asthree + asfive + mma";"";"asthree + asfive + mma";;;"asthree [µg/L] + asfive [µg/L] + mma [µg/L]";"breast milk";"µg/L";"mol;";"52317"
29045;"sumastfmma";"sumastfmma";11711;"derived";"decimal";"asthree;asfive;mma";"derived formula";"";"asthree + asfive + mma";"";"asthree + asfive + mma";;;"asthree [µg/L] + asfive [µg/L] + mma [µg/L]";"cord blood";"µg/L";"mol;";"52316"
29045;"sumastfmma";"sumastfmma";11711;"derived";"decimal";"asthree;asfive;mma";"derived formula";"";"asthree + asfive + mma";"";"asthree + asfive + mma";;;"asthree [µg/L] + asfive [µg/L] + mma [µg/L]";"urine";"µg/L";"mol;crt;sg";"52314"
29045;"sumastfmma";"sumastfmma";11711;"derived";"decimal";"asthree;asfive;mma";"derived formula";"";"asthree + asfive + mma";"";"asthree + asfive + mma";;;"asthree [µg/L] + asfive [µg/L] + mma [µg/L]";"blood";"µg/L";"mol;";"52315"
29046;"sumdcca";"sumdcca";130005;"derived";"decimal";"cdcca;tdcca";"derived formula";"";"Sum (cis-DCCA, trans-DCCA)";"";"";;;"cdcca [µg/L] + tdcca [µg/L]";"blood";"µg/L";"mol;";"52319"
29046;"sumdcca";"sumdcca";130005;"derived";"decimal";"cdcca;tdcca";"derived formula";"";"Sum (cis-DCCA, trans-DCCA)";"";"";;;"cdcca [µg/L] + tdcca [µg/L]";"urine";"µg/L";"mol;crt;sg";"52318"
29047;"sumdiohnap";"sumdiohnap";110203;"derived";"decimal";"oneohnap;twoohnap;diohnap";"derived formula";"";"oneohnap + twoohnap + diohnap";"";"oneohnap + twoohnap + diohnap";0;;"oneohnap [µg/L] + twoohnap [µg/L] + diohnap [µg/L]";"urine";"µg/L";"mol;crt;sg";"52320"
29048;"sumdp";"sumdp";10707;"derived";"decimal";"sdp;adp";"derived formula";"";"sdp + adp";"";"sdp + adp";;;"sdp [µg/L] + adp [µg/L]";"breast milk";"µg/L";"mol;lip";"52323"
29048;"sumdp";"sumdp";10707;"derived";"decimal";"sdp;adp";"derived formula";"";"sdp + adp";"";"sdp + adp";;;"sdp [µg/L] + adp [µg/L]";"blood";"µg/L";"mol;lip";"52322"
29048;"sumdp";"sumdp";10707;"derived";"decimal";"sdp;adp";"derived formula";"";"sdp + adp";"";"sdp + adp";;;"sdp [µg/L] + adp [µg/L]";"urine";"µg/L";"mol;crt;sg";"52321"
29049;"sumehdphp";"sumehdphp";10790;"derived";"decimal";"ehphp;ohehdphp";"derived formula";"";"ehphp + ohehdphp";"";"ehphp + ohehdphp";;;"ehphp [µg/L] + ohehdphp  [µg/L]";"urine";"µg/L";"crt;sg";"52324"
29049;"sumehdphp";"sumehdphp";10790;"derived";"decimal";"ehphp;ohehdphp";"derived formula";"";"ehphp + ohehdphp";"";"ehphp + ohehdphp";;;"ehphp [µg/L] + ohehdphp  [µg/L]";"blood";"µg/L";"lip";"52326"
29049;"sumehdphp";"sumehdphp";10790;"derived";"decimal";"ehphp;ohehdphp";"derived formula";"";"ehphp + ohehdphp";"";"ehphp + ohehdphp";;;"ehphp [µg/L] + ohehdphp  [µg/L]";"breast milk";"µg/L";"lip";"52325"
29050;"sumeightphthal";"sumeightphthal";100103;"derived";"decimal";"oxomehp;ohmehp;mehp;cxmepp;mbzp;mibp;mnbp;mep";"derived formula";"";"oxomehp + ohmehp + mehp + cxmepp + mbzp + mibp + mnbp + mep";"";"oxomehp + ohmehp + mehp + cxmepp + mbzp + mibp + mnbp + mep";;;"oxomehp [µg/L] + ohmehp [µg/L] + mehp [µg/L] + cxmepp [µg/L] + mbzp [µg/L] + mibp [µg/L] + mnbp [µg/L] + mep [µg/L]";"urine";"µg/L";"mol;crt;sg";"52327"
29050;"sumeightphthal";"sumeightphthal";100103;"derived";"decimal";"oxomehp;ohmehp;mehp;cxmepp;mbzp;mibp;mnbp;mep";"derived formula";"";"oxomehp + ohmehp + mehp + cxmepp + mbzp + mibp + mnbp + mep";"";"oxomehp + ohmehp + mehp + cxmepp + mbzp + mibp + mnbp + mep";;;"oxomehp [ng/g] + ohmehp [ng/g] + mehp [ng/g] + cxmepp [ng/g] + mbzp [ng/g] + mibp [ng/g] + mnbp [ng/g] + mep [ng/g]";"nail";"ng/g";"mol;";"52328"
29051;"sumfourpfas";"sumfourpfas";10650;"derived";"decimal";"pfoa;pfna;pfhxs;pfos";"derived formula";"";"pfoa + pfna + pfhxs + pfos";"";"pfoa + pfna + pfhxs + pfos";;;"pfoa [µg/L] + pfna [µg/L] + pfhxs [µg/L] + pfos [µg/L]";"urine";"µg/L";"mol;crt;sg";"52329"
29051;"sumfourpfas";"sumfourpfas";10650;"derived";"decimal";"pfoa;pfna;pfhxs;pfos";"derived formula";"";"pfoa + pfna + pfhxs + pfos";"";"pfoa + pfna + pfhxs + pfos";;;"pfoa [µg/L] + pfna [µg/L] + pfhxs [µg/L] + pfos [µg/L]";"blood";"µg/L";"mol;";"52330"
29051;"sumfourpfas";"sumfourpfas";10650;"derived";"decimal";"pfoa;pfna;pfhxs;pfos";"derived formula";"";"pfoa + pfna + pfhxs + pfos";"";"pfoa + pfna + pfhxs + pfos";;;"pfoa [µg/L] + pfna [µg/L] + pfhxs [µg/L] + pfos [µg/L]";"cord blood";"µg/L";"mol;";"52331"
29052;"sumohoxocxmehp";"sumohoxocxmehp";100109;"derived";"decimal";"oxomehp;ohmehp;mehp;cxmepp";"derived formula";"";"oxomehp + ohmehp + mehp + cxmepp";"";"oxomehp + ohmehp + mehp + cxmepp";;;"oxomehp [ng/g] + ohmehp [ng/g] + mehp [ng/g] + cxmepp [ng/g]";"nail";"ng/g";"mol;";"52354"
29052;"sumohoxocxmehp";"sumohoxocxmehp";100109;"derived";"decimal";"oxomehp;ohmehp;mehp;cxmepp";"derived formula";"";"oxomehp + ohmehp + mehp + cxmepp";"";"oxomehp + ohmehp + mehp + cxmepp";;;"oxomehp [µg/L] + ohmehp [µg/L] + mehp [µg/L] + cxmepp [µg/L]";"urine";"µg/L";"mol;crt;sg";"52353"
29053;"sumohoxomehp";"sumohoxomehp";100110;"derived";"decimal";"oxomehp;ohmehp";"derived formula";"";"oxomehp + ohmehp";"";"oxomehp + ohmehp";;;"oxomehp [µg/L] + ohmehp [µg/L]";"urine";"µg/L";"mol;crt;sg";"52355"
29053;"sumohoxomehp";"sumohoxomehp";100110;"derived";"decimal";"oxomehp;ohmehp";"derived formula";"";"oxomehp + ohmehp";"";"oxomehp + ohmehp";;;"oxomehp [ng/g] + ohmehp [ng/g]";"nail";"ng/g";"mol;";"52356"
29054;"sumhfluo";"sumhfluo";110204;"derived";"decimal";"twohfluo;threehfluo;ninehfluo";"derived formula";"";"twohfluo + threehfluo + ninehfluo";"";"twohfluo + threehfluo + ninehfluo";0;;"twohfluo [µg/L] + threehfluo [µg/L] + ninehfluo [µg/L]";"urine";"µg/L";"mol;crt;sg";"52336"
