"sampleobsprop_id";"statsuse";"statswhat";"statsvalue";"statsprovenance_source";"statsprovenance_who";"samplegroup_key";"sampletype_key";"statsprovenance_source_detail";"statsprovenance_source_info";"varname"
52630;1;"p95";0.02;"literature";"Fen (VITO)";"blood";"blood serum";"https://pubmed.ncbi.nlm.nih.gov/23611894/";"xxx is 0.038 (0.024-0.060) - LOD= 0.02 - unit= µg/L - matrix= Serum";"afbone"
52630;1;"p50";0.038;"literature";"Fen (VITO)";"blood";"blood serum";"https://pubmed.ncbi.nlm.nih.gov/23611894/";"LOD= 0.02 - unit= µg/L - matrix= Serum";"afbone"
52644;1;"p50";0.00985428119545341;"country studies";"Laura (VITO)";"urine";"random spot urine";"Flehs4RefAdolescents";"";"ag"
52644;1;"p95";0.0520254341852631;"country studies";"Laura (VITO)";"urine";"random spot urine";"Flehs4RefAdolescents";"";"ag"
52645;1;"p95";0.0600362331210716;"country studies";"Laura (VITO)";"blood";"blood-whole blood";"Flehs4RefAdolescents";"";"ag"
52645;1;"p50";0.0263085962789036;"country studies";"Laura (VITO)";"blood";"blood-whole blood";"Flehs4RefAdolescents";"";"ag"
52650;1;"p50";0.000127;"country studies";"Laura (VITO)";"blood";"blood-whole blood";"Flehs2RefAdolescents";"";"ahtn"
52650;1;"p95";0.000244;"country studies";"Laura (VITO)";"blood";"blood-whole blood";"Flehs2RefAdolescents";"";"ahtn"
52651;1;"p50";2.84138363636364;"country studies";"Laura (VITO)";"urine";"random spot urine";"Flehs4RefAdolescents";"";"al"
52651;1;"p95";7.62023863636364;"country studies";"Laura (VITO)";"urine";"random spot urine";"Flehs4RefAdolescents";"";"al"
52652;1;"p95";25.0568061617414;"country studies";"Laura (VITO)";"blood";"blood-whole blood";"Flehs4RefAdolescents";"";"al"
52652;1;"p50";13.6625050641677;"country studies";"Laura (VITO)";"blood";"blood-whole blood";"Flehs4RefAdolescents";"";"al"
52657;1;"p50";0.01;"literature";"Fen (VITO)";"blood";"blood plasma";"https://www.canada.ca/en/health-canada/services/environmental-workplace-health/reports-publications/environmental-contaminants/8-results-chemical-group-report-human-biomonitoring-environmental-chemicals-canada-health-canada-2010.html#n8_2_1";"xxx is <LOD - LOD= 0.01 - unit= µg/L - matrix= plasma";"aldrin"
52657;1;"p95";0.01;"literature";"Fen (VITO)";"blood";"blood plasma";"https://www.canada.ca/en/health-canada/services/environmental-workplace-health/reports-publications/environmental-contaminants/8-results-chemical-group-report-human-biomonitoring-environmental-chemicals-canada-health-canada-2010.html#n8_2_1";"xxx is <LOD - LOD= 0.01 - unit= µg/L - matrix= plasma";"aldrin"
52660;1;"p95";0.202;"HBM4EU existing studies";"Laura (VITO)";"urine";"first morning urine";"";"";"ame"
52660;1;"p50";0.027;"HBM4EU existing studies";"Laura (VITO)";"urine";"first morning urine";"";"";"ame"
52665;1;"p95";0.39;"country studies";"Laura (VITO)";"urine";"random spot urine";"Flehs4RefAdolescents";"";"ampa"
52665;1;"p95";0.4225;"HBM4EU existing studies";"Laura (VITO)";"urine";"random spot urine";"";"";"ampa"
52665;1;"p50";0.1;"HBM4EU aligned studies";"Laura (VITO)";"urine";"first morning urine";"";"";"ampa"
52665;1;"p50";0.05;"HBM4EU aligned studies";"Laura (VITO)";"urine";"urine 24h";"";"";"ampa"
52665;1;"p95";0.43;"country studies";"Laura (VITO)";"urine";"random spot urine";"Flehs3RefAdults";"";"ampa"
52665;1;"p50";0.1;"country studies";"Laura (VITO)";"urine";"random spot urine";"Flehs3RefAdults";"";"ampa"
52665;1;"p95";0.42219;"HBM4EU aligned studies";"Laura (VITO)";"urine";"first morning urine";"";"";"ampa"
52665;1;"p95";0.3725;"HBM4EU aligned studies";"Laura (VITO)";"urine";"random spot urine";"";"";"ampa"
52665;1;"p50";0.1;"HBM4EU existing studies";"Laura (VITO)";"urine";"random spot urine";"";"";"ampa"
52665;1;"p50";0.05;"HBM4EU aligned studies";"Laura (VITO)";"urine";"random spot urine";"";"";"ampa"
52665;1;"p50";0.11;"country studies";"Laura (VITO)";"urine";"random spot urine";"Flehs4RefAdolescents";"";"ampa"
52665;1;"p95";0.3419;"HBM4EU aligned studies";"Laura (VITO)";"urine";"urine 24h";"";"";"ampa"
52667;1;"p95";0.19;"HBM4EU existing studies";"Laura (VITO)";"urine";"first morning urine";"";"";"an"
52673;1;"p50";1.49;"HBM4EU aligned studies";"Laura (VITO)";"blood";"blood plasma";"";"";"apoa1"
52673;1;"p95";1.8625;"HBM4EU aligned studies";"Laura (VITO)";"blood";"blood plasma";"";"";"apoa1"
52674;1;"p95";671.25;"HBM4EU aligned studies";"Laura (VITO)";"blood";"blood plasma";"";"";"apoa2"
52674;1;"p50";89;"HBM4EU aligned studies";"Laura (VITO)";"blood";"blood plasma";"";"";"apoa2"
52675;1;"p50";0.78;"HBM4EU aligned studies";"Laura (VITO)";"blood";"blood plasma";"";"";"apob100"
52675;1;"p95";1.09;"HBM4EU aligned studies";"Laura (VITO)";"blood";"blood plasma";"";"";"apob100"
52677;1;"p95";40.48;"country studies";"Laura (VITO)";"urine";"random spot urine";"Flehs4RefAdolescents";"";"asb"
52677;1;"p95";56.5;"country studies";"Laura (VITO)";"urine";"random spot urine";"Flehs3AdolescentsGKZ";"";"asb"
52677;1;"p95";72.3419999999997;"HBM4EU aligned studies";"Laura (VITO)";"urine";"first morning urine";"";"";"asb"
52677;1;"p50";3.2;"country studies";"Laura (VITO)";"urine";"random spot urine";"Flehs3RefAdolescents";"";"asb"
52677;1;"p50";2.02;"country studies";"Laura (VITO)";"urine";"random spot urine";"Flehs4RefAdolescents";"";"asb"
52677;1;"p95";63.42;"HBM4EU existing studies";"Laura (VITO)";"urine";"random spot urine";"";"";"asb"
52677;1;"p95";69;"country studies";"Laura (VITO)";"urine";"random spot urine";"Flehs3RefAdolescents";"";"asb"
52677;1;"p50";2.2;"country studies";"Laura (VITO)";"urine";"random spot urine";"Flehs3AdolescentsGKZ";"";"asb"
52677;1;"p50";2.5;"HBM4EU aligned studies";"Laura (VITO)";"urine";"first morning urine";"";"";"asb"
52677;1;"p50";3.2;"HBM4EU existing studies";"Laura (VITO)";"urine";"random spot urine";"";"";"asb"
52677;1;"p95";104.226;"HBM4EU aligned studies";"Laura (VITO)";"urine";"random spot urine";"";"";"asb"
52677;1;"p50";6.13;"HBM4EU aligned studies";"Laura (VITO)";"urine";"random spot urine";"";"";"asb"
52681;1;"p50";0.1;"HBM4EU aligned studies";"Laura (VITO)";"urine";"first morning urine";"";"";"asfive"
52681;1;"p95";0.677499999999999;"HBM4EU aligned studies";"Laura (VITO)";"urine";"random spot urine";"";"";"asfive"
52681;1;"p50";0.2;"HBM4EU existing studies";"Laura (VITO)";"urine";"random spot urine";"";"";"asfive"
52681;1;"p50";0.2;"country studies";"Laura (VITO)";"urine";"random spot urine";"Flehs3AdolescentsGKZ";"";"asfive"
52681;1;"p95";0.6;"HBM4EU existing studies";"Laura (VITO)";"urine";"random spot urine";"";"";"asfive"
52681;1;"p95";0.6;"country studies";"Laura (VITO)";"urine";"random spot urine";"Flehs3AdolescentsGKZ";"";"asfive"
52681;1;"p50";0.2;"country studies";"Laura (VITO)";"urine";"random spot urine";"Flehs3RefAdolescents";"";"asfive"
52681;1;"p95";0.9225;"HBM4EU aligned studies";"Laura (VITO)";"urine";"first morning urine";"";"";"asfive"
52681;1;"p95";0.6;"country studies";"Laura (VITO)";"urine";"random spot urine";"Flehs3RefAdolescents";"";"asfive"
52681;1;"p50";0.16;"HBM4EU aligned studies";"Laura (VITO)";"urine";"random spot urine";"";"";"asfive"
52685;1;"p95";0.8915;"HBM4EU aligned studies";"Laura (VITO)";"urine";"random spot urine";"";"";"asthree"
52685;1;"p50";0.27;"HBM4EU aligned studies";"Laura (VITO)";"urine";"random spot urine";"";"";"asthree"
52685;1;"p95";0.6;"country studies";"Laura (VITO)";"urine";"random spot urine";"Flehs3AdolescentsGKZ";"";"asthree"
52685;1;"p95";0.7;"HBM4EU existing studies";"Laura (VITO)";"urine";"random spot urine";"";"";"asthree"
52685;1;"p95";1.04;"country studies";"Laura (VITO)";"urine";"random spot urine";"Flehs4RefAdolescents";"";"asthree"
52685;1;"p95";0.7;"country studies";"Laura (VITO)";"urine";"random spot urine";"Flehs3RefAdolescents";"";"asthree"
52685;1;"p95";1.0475;"HBM4EU aligned studies";"Laura (VITO)";"urine";"first morning urine";"";"";"asthree"
52685;1;"p50";0.3;"HBM4EU aligned studies";"Laura (VITO)";"urine";"first morning urine";"";"";"asthree"
52689;1;"p95";0.5;"literature";"Fen (VITO)";"urine";;"https://www.cdc.gov/exposurereport/data_tables.html";"xxx is <LOD - LOD= 0.5 - unit= µg/L - matrix= Urine";"atmer"
52689;1;"p50";0.5;"literature";"Fen (VITO)";"urine";;"https://www.cdc.gov/exposurereport/data_tables.html";"xxx is <LOD - LOD= 0.5 - unit= µg/L - matrix= Urine";"atmer"
52690;1;"p50";0.5;"literature";"Fen (VITO)";"urine";;"https://www.cdc.gov/exposurereport/data_tables.html";"xxx is <LOD - LOD= 0.5 - unit= µg/L - matrix= Urine";"atrz"
52690;1;"p95";0.5;"literature";"Fen (VITO)";"urine";;"https://www.cdc.gov/exposurereport/data_tables.html";"xxx is <LOD - LOD= 0.5 - unit= µg/L - matrix= Urine";"atrz"
52691;1;"p95";9.42;"literature";"Fen (VITO)";"urine";;"https://www.sciencedirect.com/science/article/pii/S0378427414013095";"xxx is <LOD - LOQ= 9.42 - unit= µg/L - matrix= Urine";"au"
52698;1;"p95";0.138;"HBM4EU existing studies";"Laura (VITO)";"urine";"first morning urine";"";"";"azel"
52698;1;"p50";0.052;"HBM4EU existing studies";"Laura (VITO)";"urine";"first morning urine";"";"";"azel"
52704;1;"p95";3000;"literature";"Fen (VITO)";"urine";;"https://www.canada.ca/en/health-canada/services/environmental-workplace-health/reports-publications/environmental-contaminants/sixth-report-human-biomonitoring/page-2.html#s8-3";"xxx is 3000(2600–3500) - LOD= 160 - unit= µg/L - matrix= Urine";"b"
52704;1;"p50";970;"literature";"Fen (VITO)";"urine";;"https://www.canada.ca/en/health-canada/services/environmental-workplace-health/reports-publications/environmental-contaminants/sixth-report-human-biomonitoring/page-2.html#s8-3";"xxx is 970(880–1100) - LOD= 160 - unit= µg/L - matrix= Urine";"b"
52708;1;"p50";2.84439318181818;"country studies";"Laura (VITO)";"urine";"random spot urine";"Flehs4RefAdolescents";"";"ba"
52708;1;"p95";9.62185318181818;"country studies";"Laura (VITO)";"urine";"random spot urine";"Flehs4RefAdolescents";"";"ba"
52708;1;"p95";5.28;"literature";"Fen (VITO)";"urine";;"https://www.cdc.gov/exposurereport/data_tables.html";"xxx is 5.28 (4.92-6.13) - LOD= 0.06 - unit= µg/L - matrix= Urine";"ba"
52708;1;"p50";1.1;"literature";"Fen (VITO)";"urine";;"https://www.cdc.gov/exposurereport/data_tables.html";"xxx is 1.10 (1.02-1.25) - LOD= 0.06 - unit= µg/L - matrix= Urine";"ba"
52709;1;"p95";1.64123046649971;"country studies";"Laura (VITO)";"blood";"blood-whole blood";"Flehs4RefAdolescents";"";"ba"
52709;1;"p50";0.874934016096399;"country studies";"Laura (VITO)";"blood";"blood-whole blood";"Flehs4RefAdolescents";"";"ba"
52714;1;"p95";4e-04;"country studies";"Laura (VITO)";"urine";"random spot urine";"Flehs3RefAdolescents";"";"bap"
52714;1;"p50";0.002;"literature";"Fen (VITO)";"urine";;"https://www.canada.ca/content/dam/hc-sc/migration/hc-sc/ewh-semt/alt_formats/pdf/pubs/contaminants/chms-ecms-cycle2/chms-ecms-cycle2-eng.pdf";"xxx is <LOD - LOD= 0.002 - unit= µg/L - matrix= Urine";"bap"
52714;1;"p95";0.002;"literature";"Fen (VITO)";"urine";;"https://www.canada.ca/content/dam/hc-sc/migration/hc-sc/ewh-semt/alt_formats/pdf/pubs/contaminants/chms-ecms-cycle2/chms-ecms-cycle2-eng.pdf";"xxx is <LOD - LOD= 0.002 - unit= µg/L - matrix= Urine";"bap"
52721;1;"p95";0.228;"country studies";"Laura (VITO)";"urine";"random spot urine";"Flehs4RefAdolescents";"";"bboehep"
52721;1;"p50";0.031;"country studies";"Laura (VITO)";"urine";"random spot urine";"Flehs4RefAdolescents";"";"bboehep"
52723;1;"p50";0.105;"HBM4EU existing studies";"Laura (VITO)";"urine";"first morning urine";"";"";"bboephr"
52723;1;"p95";0.53225;"HBM4EU existing studies";"Laura (VITO)";"urine";"first morning urine";"";"";"bboephr"
52723;1;"p95";0.096;"country studies";"Laura (VITO)";"urine";"random spot urine";"Flehs4RefAdolescents";"";"bboephr"
52727;1;"p95";3.61999999999999;"HBM4EU aligned studies";"Laura (VITO)";"urine";"random spot urine";"";"";"bcepms"
52727;1;"p50";0.6501;"HBM4EU aligned studies";"Laura (VITO)";"urine";"random spot urine";"";"";"bcepms"
52727;1;"p50";0.16;"HBM4EU aligned studies";"Laura (VITO)";"urine";"first morning urine";"";"";"bcepms"
52727;1;"p50";0.205;"HBM4EU existing studies";"Laura (VITO)";"urine";"first morning urine";"";"";"bcepms"
52727;1;"p95";2.8278;"HBM4EU existing studies";"Laura (VITO)";"urine";"first morning urine";"";"";"bcepms"
52727;1;"p95";2.9;"HBM4EU aligned studies";"Laura (VITO)";"urine";"first morning urine";"";"";"bcepms"
52727;1;"p95";5.06;"HBM4EU existing studies";"Laura (VITO)";"urine";"random spot urine";"";"";"bcepms"
52732;1;"p95";6.225;"country studies";"Laura (VITO)";"urine";"random spot urine";"Flehs4RefAdolescents";"";"bciphipp"
52732;1;"p50";0.596;"country studies";"Laura (VITO)";"urine";"random spot urine";"Flehs4RefAdolescents";"";"bciphipp"
52736;1;"p95";1.11;"literature";"Fen (VITO)";"urine";;"https://www.cdc.gov/exposurereport/data_tables.html";"xxx is 1.11 (.889-1.34) - LOD= 0.1 - unit= µg/L - matrix= Urine";"bcippms"
52736;1;"p95";1.022;"HBM4EU existing studies";"Laura (VITO)";"urine";"first morning urine";"";"";"bcippms"
52736;1;"p95";1.99;"HBM4EU aligned studies";"Laura (VITO)";"urine";"first morning urine";"";"";"bcippms"
52736;1;"p50";0.2;"HBM4EU aligned studies";"Laura (VITO)";"urine";"random spot urine";"";"";"bcippms"
52736;1;"p50";0.1;"literature";"Fen (VITO)";"urine";;"https://www.cdc.gov/exposurereport/data_tables.html";"xxx is <LOD - LOD= 0.1 - unit= µg/L - matrix= Urine";"bcippms"
52736;1;"p95";3.043;"country studies";"Laura (VITO)";"urine";"random spot urine";"Flehs4RefAdolescents";"";"bcippms"
52736;1;"p95";1.205;"HBM4EU aligned studies";"Laura (VITO)";"urine";"random spot urine";"";"";"bcippms"
52736;1;"p50";0.17;"HBM4EU aligned studies";"Laura (VITO)";"urine";"first morning urine";"";"";"bcippms"
52736;1;"p50";0.1575;"HBM4EU existing studies";"Laura (VITO)";"urine";"first morning urine";"";"";"bcippms"
52739;1;"p95";3.378;"HBM4EU aligned studies";"Laura (VITO)";"urine";"first morning urine";"";"";"bdcippms"
52739;1;"p50";0.421;"HBM4EU existing studies";"Laura (VITO)";"urine";"first morning urine";"";"";"bdcippms"
52739;1;"p95";1.79368;"HBM4EU existing studies";"Laura (VITO)";"urine";"first morning urine";"";"";"bdcippms"
52739;1;"p50";0.335;"HBM4EU aligned studies";"Laura (VITO)";"urine";"random spot urine";"";"";"bdcippms"
52739;1;"p50";0.56;"HBM4EU aligned studies";"Laura (VITO)";"urine";"first morning urine";"";"";"bdcippms"
52739;1;"p95";9.49;"literature";"Fen (VITO)";"urine";;"https://www.cdc.gov/exposurereport/data_tables.html";"xxx is 9.49 (7.23-11.8) - LOD= 0.1 - unit= µg/L - matrix= Urine";"bdcippms"
52739;1;"p95";2.241;"country studies";"Laura (VITO)";"urine";"random spot urine";"Flehs4RefAdolescents";"";"bdcippms"
52739;1;"p95";1.73451;"HBM4EU aligned studies";"Laura (VITO)";"urine";"random spot urine";"";"";"bdcippms"
52739;1;"p50";0.292;"country studies";"Laura (VITO)";"urine";"random spot urine";"Flehs4RefAdolescents";"";"bdcippms"
52739;1;"p50";1.24;"literature";"Fen (VITO)";"urine";;"https://www.cdc.gov/exposurereport/data_tables.html";"xxx is 1.24 (1.07-1.44) - LOD= 0.1 - unit= µg/L - matrix= Urine";"bdcippms"
52742;1;"p50";0.03;"literature";"Fen (VITO)";"blood";"blood plasma";"https://www.afn.ca/uploads/files/afn_fnbi_en_-_2013-06-26.pdf";"xxx is <LOD - LOD= 0.03 - unit= µg/L - matrix= Plasma";"bde15"
52742;1;"p95";0.03;"literature";"Fen (VITO)";"blood";"blood plasma";"https://www.afn.ca/uploads/files/afn_fnbi_en_-_2013-06-26.pdf";"xxx is <LOD - LOD= 0.03 - unit= µg/L - matrix= Plasma";"bde15"
52746;1;"p50";0.03;"literature";"Fen (VITO)";"blood";"blood plasma";"https://www.afn.ca/uploads/files/afn_fnbi_en_-_2013-06-26.pdf";"xxx is <LOD - LOD= 0.03 - unit= µg/L - matrix= Plasma";"bde17"
52746;1;"p95";0.03;"literature";"Fen (VITO)";"blood";"blood plasma";"https://www.afn.ca/uploads/files/afn_fnbi_en_-_2013-06-26.pdf";"xxx is <LOD - LOD= 0.03 - unit= µg/L - matrix= Plasma";"bde17"
52747;1;"p50";0.0168;"country studies";"sergio.gonzalez@isciii.es";"blood";"blood serum";"BIOAMBIENT.ES study";"";"bde196"
52747;1;"p95";0.181;"country studies";"sergio.gonzalez@isciii.es";"blood";"blood serum";"BIOAMBIENT.ES study";"";"bde196"
52748;1;"p50";0.07;"country studies";"sergio.gonzalez@isciii.es";"blood";"blood serum";"BIOAMBIENT.ES study";"";"bde197"
52748;1;"p95";0.22;"country studies";"sergio.gonzalez@isciii.es";"blood";"blood serum";"BIOAMBIENT.ES study";"";"bde197"
52749;1;"p95";0.13;"country studies";"sergio.gonzalez@isciii.es";"blood";"blood serum";"BIOAMBIENT.ES study";"";"bde203"
52749;1;"p50";0.0148;"country studies";"sergio.gonzalez@isciii.es";"blood";"blood serum";"BIOAMBIENT.ES study";"";"bde203"
52752;1;"p95";0.03;"literature";"Fen (VITO)";"blood";"blood plasma";"https://www.afn.ca/uploads/files/afn_fnbi_en_-_2013-06-26.pdf";"xxx is <LOD - LOD= 0.03 - unit= µg/L - matrix= Plasma";"bde25"
52752;1;"p50";0.03;"literature";"Fen (VITO)";"blood";"blood plasma";"https://www.afn.ca/uploads/files/afn_fnbi_en_-_2013-06-26.pdf";"xxx is <LOD - LOD= 0.03 - unit= µg/L - matrix= Plasma";"bde25"
52753;1;"p95";0.03;"literature";"Fen (VITO)";"blood";"blood plasma";"https://www.afn.ca/uploads/files/afn_fnbi_en_-_2013-06-26.pdf";"xxx is <LOD - LOD= 0.03 - unit= µg/L - matrix= Plasma";"bde33"
52753;1;"p50";0.03;"literature";"Fen (VITO)";"blood";"blood plasma";"https://www.afn.ca/uploads/files/afn_fnbi_en_-_2013-06-26.pdf";"xxx is <LOD - LOD= 0.03 - unit= µg/L - matrix= Plasma";"bde33"
52758;1;"p50";0.00108;"HBM4EU existing studies";"Laura (VITO)";"blood";"blood plasma";"";"";"bdea"
52758;1;"p95";0.00218;"HBM4EU existing studies";"Laura (VITO)";"blood";"blood plasma";"";"";"bdea"
52758;1;"p95";0.03;"literature";"Fen (VITO)";"blood";"blood plasma";"https://www.canada.ca/content/dam/hc-sc/migration/hc-sc/ewh-semt/alt_formats/hecs-sesc/pdf/pubs/contaminants/chms-ecms/report-rapport-eng.pdf";"xxx is <LOD - LOD= 0.03 - unit= µg/L - matrix= plasma";"bdea"
52758;1;"p50";0.03;"literature";"Fen (VITO)";"blood";"blood plasma";"https://www.canada.ca/content/dam/hc-sc/migration/hc-sc/ewh-semt/alt_formats/hecs-sesc/pdf/pubs/contaminants/chms-ecms/report-rapport-eng.pdf";"xxx is <LOD - LOD= 0.03 - unit= µg/L - matrix= plasma";"bdea"
52758;1;"p95";0.01347;"HBM4EU existing studies";"Laura (VITO)";"blood";"blood serum";"";"";"bdea"
52760;1;"p95";0.01;"country studies";"Laura (VITO)";"blood";"blood serum";"Flehs2RefAdolescents";"";"bdeb"
52760;1;"p50";0.00255;"HBM4EU aligned studies";"Laura (VITO)";"blood";"blood plasma";"";"";"bdeb"
52760;1;"p95";0.0058;"country studies";"Laura (VITO)";"blood";"blood serum";"Flehs4RefAdolescents";"";"bdeb"
52760;1;"p95";0.008;"country studies";"Laura (VITO)";"blood";"blood serum";"Flehs3RefAdults";"";"bdeb"
52760;1;"p50";0.001;"country studies";"Laura (VITO)";"blood";"blood serum";"Flehs4RefAdolescents";"";"bdeb"
52760;1;"p95";0.009;"country studies";"Laura (VITO)";"blood";"blood serum";"Flehs2AdoGenk";"";"bdeb"
52760;1;"p95";0.007;"country studies";"Laura (VITO)";"blood";"blood serum";"Flehs2AdoMenen";"";"bdeb"
52760;1;"p50";0.002;"HBM4EU existing studies";"Laura (VITO)";"blood";"blood serum";"";"";"bdeb"
52760;1;"p50";0.00115;"HBM4EU aligned studies";"Laura (VITO)";"blood";"blood serum";"";"";"bdeb"
52760;1;"p95";0.006705;"HBM4EU aligned studies";"Laura (VITO)";"blood";"blood plasma";"";"";"bdeb"
52760;1;"p50";0.002;"country studies";"Laura (VITO)";"blood";"blood serum";"Flehs3RefAdults";"";"bdeb"
52760;1;"p95";0.04496;"HBM4EU existing studies";"Laura (VITO)";"blood";"blood plasma";"";"";"bdeb"
52760;1;"p50";0.01286;"HBM4EU existing studies";"Laura (VITO)";"blood";"blood plasma";"";"";"bdeb"
52760;1;"p95";0.005;"country studies";"Laura (VITO)";"blood";"blood serum";"Flehs3AdolescentsGKZ";"";"bdeb"
52760;1;"p95";0.01055;"HBM4EU aligned studies";"Laura (VITO)";"blood";"blood serum";"";"";"bdeb"
52760;1;"p95";0.004;"country studies";"Laura (VITO)";"blood";"blood serum";"Flehs3RefAdolescents";"";"bdeb"
52760;1;"p95";0.01008;"HBM4EU existing studies";"Laura (VITO)";"blood";"blood serum";"";"";"bdeb"
52763;1;"p95";0.00845;"HBM4EU existing studies";"Laura (VITO)";"cord blood";"cord blood-plasma";"";"";"bdeb"
52763;1;"p95";0.008;"country studies";"Laura (VITO)";"cord blood";"cord blood-plasma";"Flehs2Nb";"";"bdeb"
52767;1;"p95";0.003;"country studies";"Laura (VITO)";"blood";"blood serum";"Flehs2AdoGenk";"";"bdec"
52767;1;"p95";0.03629;"HBM4EU existing studies";"Laura (VITO)";"blood";"blood plasma";"";"";"bdec"
52767;1;"p95";0.003;"country studies";"Laura (VITO)";"blood";"blood serum";"Flehs2RefAdolescents";"";"bdec"
52767;1;"p95";0.0044;"country studies";"Laura (VITO)";"blood";"blood serum";"Flehs4RefAdolescents";"";"bdec"
52767;1;"p95";0.00737;"HBM4EU existing studies";"Laura (VITO)";"blood";"blood serum";"";"";"bdec"
52767;1;"p50";0.00705;"HBM4EU existing studies";"Laura (VITO)";"blood";"blood plasma";"";"";"bdec"
52767;1;"p95";0.012;"country studies";"Laura (VITO)";"blood";"blood serum";"Flehs3RefAdults";"";"bdec"
52767;1;"p50";0.02;"literature";"Fen (VITO)";"blood";"blood plasma";"https://www.afn.ca/uploads/files/afn_fnbi_en_-_2013-06-26.pdf";"xxx is <LOD - LOD= 0.02 - unit= µg/L - matrix= Plasma";"bdec"
52767;1;"p95";0.05;"literature";"Fen (VITO)";"blood";"blood plasma";"https://www.afn.ca/uploads/files/afn_fnbi_en_-_2013-06-26.pdf";"xxx is 0.05(0.04 - 0.07)* - LOD= 0.02 - unit= µg/L - matrix= Plasma";"bdec"
52771;1;"p95";0.002;"country studies";"Laura (VITO)";"blood";"blood serum";"Flehs2AdoGenk";"";"bded"
52771;1;"p95";0.05;"literature";"Fen (VITO)";"blood";"blood plasma";"https://www.afn.ca/uploads/files/afn_fnbi_en_-_2013-06-26.pdf";"xxx is 0.05(0.03 - 0.07)* - LOD= 0.02 - unit= µg/L - matrix= Plasma";"bded"
