"lingo";"stakeholder_key";"category_level1";"category_level2";"compoundgroup_name";"sampleobscore_key";"varname";"name";"label";"harmonisationlevel";"relatedinfo";"datatype_key";"samplegroup_key";"vartype_key";"sampleobscore_sort";"unit_key";"unit_name";"preferred_unit_name";"preferred_unit_key";"significantdecimals";"extensions";"formula";"zeroallowed";"min";"max";"p50";"p95";"chebi";"casnumber";"inchikey";"iupac";"refs";"molweight_grampermol";"projectname";"category_sort";"category_key"
"en";"Parc";"Exposure marker";"Musks";"Musks";"ahtn";"ahtn";"Tonalide";"AHTN";"Parc";;"decimal";"blood";"measured";11800;"µg/L";"µg/L";"µg/L";"µg/L";;"";"";;;;0.000127;0.000244;"";"";"DNRJTBAOUJJKDY-UHFFFAOYSA-N";"";"";;"HBM4EU Existing studies;Parc Mixtures project";1018;"Musks"
"en";"Parc";"Exposure marker";"Metals";"Metals";"al";"al";"Aluminium";"Al";"Parc";;"decimal";"blood";"measured";11534;"µg/L";"µg/L";"µg/L";"µg/L";;"";"";;;;13.6625050641677;25.0568061617414;"";"7429-90-5";"";"";"https://en.wikipedia.org/wiki/Aluminium";;"Parc Mixtures project";1013;"Metals"
"en";"Parc";"Exposure marker";"Metals";"Metals";"al";"al";"Aluminium";"Al";"Parc";;"decimal";"urine";"measured";11534;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;2.84138363636364;7.62023863636364;"";"7429-90-5";"";"";"https://en.wikipedia.org/wiki/Aluminium";;"Parc Mixtures project";1013;"Metals"
"en";"Parc";"Exposure marker";"Herbicides";"Herbicides";"alchlor";"alchlor";"2-Chloro-N-(2,6-diethylphenyl)-N-(methoxymethyl)acetamide";"Alachlor";"Parc";"parentcompound(s) = 2-Chloro-N-(2,6-diethylphenyl)-N-(methoxymethyl)acetamide (Alachlor) (casnumber=15972-60-8)";"decimal";"urine";"measured";19000;"µg/L";"µg/L";"µg/L";"µg/L";;"";"";;;;;;"";"15972-60-8";"XCSGPAVHZFQHGE-UHFFFAOYSA-N";"";"https://pubchem.ncbi.nlm.nih.gov/compound/122590370";;"Parc Mixtures project";3001;"Herbicides"
"en";"Parc";"Exposure marker";"Pesticides";"Pesticides";"aldrin";"aldrin";"Aldrin";"Aldrin";"Parc";"parentcompound(s) = Aldrin (Aldrin) (casnumber=309-00-2)";"decimal";"blood";"measured";12527;"µg/L";"µg/L";"µg/L";"µg/L";;"";"";;;;0.01;0.01;"";"309-00-2";"QBYJBZPUGVGKQQ-SJJAEHHWSA-N";"";"https://pubchem.ncbi.nlm.nih.gov/compound/Aldrin";;"Parc Mixtures project";1008;"Pesticides"
"en";"Parc";"Exposure marker";"Herbicides";"Herbicides";"almer";"almer";"Alachlor mercapturate";;"Parc";"parentcompound(s) = 2-Chloro-N-(2,6-diethylphenyl)-N-(methoxymethyl)acetamide (Alachlor) (casnumber=15972-60-8)";"decimal";"urine";"measured";19001;"µg/L";"µg/L";"µg/L";"µg/L";;"";"";;;;;;"";"116482-92-9";"";"";"https://pubchem.ncbi.nlm.nih.gov/compound/Alachlor-mercapturate";;"Parc Mixtures project";3001;"Herbicides"
"en";"Parc";"Exposure marker";"Aprotic solvents";"Aprotic solvents";"amcc";"amcc";"N-Acetyl-S-(N-methylcarbamoyl)cysteine";"AMCC";"HBM4EU";"parentcompound(s) = N,N-Dimethylformamide (DMF) (casnumber=68-12-2)";"decimal";"urine";"measured";13200;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;;;"";"103974-29-4";"";"";"";;"Parc Mixtures project";1010;"Aprotic solvents"
"en";"Parc";"Exposure marker";"Mycotoxins";"Mycotoxins";"ame";"ame";"Alternariol Monomethyl Ether";"AME";"HBM4EU";"parentcompound(s) = Alternariol Monomethyl Ether (AME) (casnumber=23452-05-3)";"decimal";"urine";"measured";12216;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;0.027;0.202;"";"23452-05-3";"";"";"";;"HBM4EU Existing studies";10001;"Mycotoxins"
"en";"Parc";"Exposure marker";"Pesticides";"Pesticides";"ampa";"ampa";"Aminomethylyphosphonic acid";"AMPA";"HBM4EU";"parentcompound(s) = Glyphosate (GLY) (casnumber=1071-83-6)";"decimal";"urine";"measured";12500;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";0;;;0.085;0.396515;"";"1066-51-9";"MGRVRXRGTBOSHW-UHFFFAOYSA-N";"";"";;"HBM4EU Aligned studies;HBM4EU Existing studies;Parc Mixtures project";1008;"Pesticides"
"en";"Parc";"Exposure marker";"Polycyclic Aromatic Hydrocarbons (PAHs)";"Polycyclic Aromatic Hydrocarbons (PAHs)";"an";"an";"Anthracene";"AN";"HBM4EU";"parentcompound(s) = Anthracene (AN) (casnumber=120-12-7)";"decimal";"urine";"measured";11220;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";0;;;;0.19;"";"120-12-7";"";"";"";;"HBM4EU Existing studies";1006;"Polycyclic Aromatic Hydrocarbons (PAHs)"
"en";"Parc";"Exposure marker";"Mycotoxins";"Mycotoxins";"aoh";"aoh";"Alternariol";"AOH";"HBM4EU";"parentcompound(s) = Alternariol (AOH) (casnumber=641-38-3)";"decimal";"urine";"measured";12217;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;;;"";"641-38-3";"";"";"";;"HBM4EU Existing studies";10001;"Mycotoxins"
"en";"Parc";"Effect marker";"Blood Lipids and lipid transport proteins";"";"apoa1";"apoa1";"Apolipoprotein-A1";"APOB";"HBM4EU";;"decimal";"blood";"measured";206;"g/L";"g/L";"g/L";"g/L";;"";"";0;;;1.49;1.8625;"";"";"";"";"";;"HBM4EU Aligned studies";2006;"Blood Lipids and lipid transport proteins"
"en";"Parc";"Effect marker";"Blood Lipids and lipid transport proteins";"";"apoa2";"apoa2";"Lipoprotein A";;"HBM4EU";;"decimal";"blood";"measured";207;"µg/mL";"µg/mL";"µg/mL";"µg/mL";;"";"";0;;;89;671.25;"";"";"";"";"";;"HBM4EU Aligned studies";2006;"Blood Lipids and lipid transport proteins"
"en";"Parc";"Effect marker";"Blood Lipids and lipid transport proteins";"";"apob100";"apob100";"Apolipoprotein B";;"HBM4EU";;"decimal";"blood";"measured";208;"g/L";"g/L";"g/L";"g/L";;"";"";0;;;0.78;1.09;"";"";"";"";"";;"HBM4EU Aligned studies";2006;"Blood Lipids and lipid transport proteins"
"en";"FHBM";"Exposure marker";"Metals";"Metals";"asb";"asb";"Arsenobetaine";"AsB";"HBM4EU";"parentcompound(s) = Arsenic (As) (casnumber=7440-38-2)";"decimal";"urine";"measured";11500;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";0;;;3.20833333333333;67.6613333333333;"";"";"SPTHHTGLGVZZRH-UHFFFAOYSA-N";"";"";;"ZWPFASPhase2";1013;"Metals"
"en";"Parc";"Exposure marker";"Metals";"Metals";"asb";"asb";"Arsenobetaine";"AsB";"HBM4EU";"parentcompound(s) = Arsenic (As) (casnumber=7440-38-2)";"decimal";"urine";"measured";11500;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";0;;;3.20833333333333;67.6613333333333;"";"";"SPTHHTGLGVZZRH-UHFFFAOYSA-N";"";"";;"HBM4EU Aligned studies;HBM4EU Existing studies;Parc Mixtures project";1013;"Metals"
"en";"FHBM";"Exposure marker";"Metals";"Metals";"asfive";"asfive";"Arsenic(V) acid";"As(V)";"HBM4EU";"parentcompound(s) = Arsenic (As) (casnumber=7440-38-2)";"decimal";"urine";"measured";11501;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";0;;;0.172;0.68;"";"";"HAYXDMNJJFVXCI-UHFFFAOYSA-N";"";"";;"ZWPFASPhase2";1013;"Metals"
"en";"Parc";"Exposure marker";"Metals";"Metals";"asfive";"asfive";"Arsenic(V) acid";"As(V)";"HBM4EU";"parentcompound(s) = Arsenic (As) (casnumber=7440-38-2)";"decimal";"urine";"measured";11501;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";0;;;0.172;0.68;"";"";"HAYXDMNJJFVXCI-UHFFFAOYSA-N";"";"";;"HBM4EU Aligned studies;HBM4EU Existing studies;Parc Mixtures project";1013;"Metals"
"en";"FHBM";"Exposure marker";"Metals";"Metals";"asthree";"asthree";"Arsenic(III) acid";"As(III)";"HBM4EU";"parentcompound(s) = Arsenic (As) (casnumber=7440-38-2)";"decimal";"urine";"measured";11502;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";0;;;0.285;0.829833333333333;"";"";"LULLIKNODDLMDQ-UHFFFAOYSA-N";"";"";;"ZWPFASPhase2";1013;"Metals"
"en";"Parc";"Exposure marker";"Metals";"Metals";"asthree";"asthree";"Arsenic(III) acid";"As(III)";"HBM4EU";"parentcompound(s) = Arsenic (As) (casnumber=7440-38-2)";"decimal";"urine";"measured";11502;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";0;;;0.285;0.829833333333333;"";"";"LULLIKNODDLMDQ-UHFFFAOYSA-N";"";"";;"HBM4EU Aligned studies;HBM4EU Existing studies;Parc Mixtures project";1013;"Metals"
"en";"Parc";"Exposure marker";"Herbicides";"Herbicides";"atmer";"atmer";"Atrazine mercapturate";;"Parc";"parentcompound(s) = Atrazine (casnumber=1912-24-9)";"decimal";"urine";"measured";19002;"µg/L";"µg/L";"µg/L";"µg/L";;"";"";;;;0.5;0.5;"";"138722-96-0";"JYBXBVCDDNBLJW-VIFPVBQESA-N";"";"https://pubchem.ncbi.nlm.nih.gov/compound/Atrazine-mercapturate";;"Parc Mixtures project";3001;"Herbicides"
"en";"Parc";"Exposure marker";"Herbicides";"Herbicides";"atrz";"atrz";"Atrazine";;"Parc";"parentcompound(s) = Atrazine (casnumber=1912-24-9)";"decimal";"urine";"measured";19003;"µg/L";"µg/L";"µg/L";"µg/L";;"";"";;;;0.5;0.5;"";"1912-24-9";"MXWJVTOOROXGIU-UHFFFAOYSA-N";"";"https://pubchem.ncbi.nlm.nih.gov/compound/Atrazine";;"Parc Mixtures project";3001;"Herbicides"
"en";"Parc";"Exposure marker";"Metals";"Metals";"au";"au";"Gold";"Au";"Parc";;"decimal";"urine";"measured";11535;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;;9.42;"";"7440-57-5";"";"";"https://en.wikipedia.org/wiki/Gold";;"Parc Mixtures project";1013;"Metals"
"en";"Parc";"Exposure marker";"Mycotoxins";"Mycotoxins";"azal";"azal";"Α-zearalanol";"α-ZAL";"HBM4EU";"parentcompound(s) = Zearalenone (ZEN) (casnumber=17924-92-4)";"decimal";"urine";"measured";12218;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;;;"";"26538-44-3";"";"";"";;"HBM4EU Existing studies";10001;"Mycotoxins"
"en";"Parc";"Exposure marker";"Mycotoxins";"Mycotoxins";"azel";"azel";"Α-zearalenol Free";"α-ZEL";"HBM4EU";"parentcompound(s) = Zearalenone (ZEN) (casnumber=17924-92-4)";"decimal";"urine";"measured";12218;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;0.052;0.138;"";"36455-72-8";"";"";"";;"HBM4EU Existing studies";10001;"Mycotoxins"
"en";"Parc";"Exposure marker";"Mycotoxins";"Mycotoxins";"azel";"azel";"Α-zearalenol Free";"α-ZEL";"HBM4EU";"parentcompound(s) = Zearalenone (ZEN) (casnumber=17924-92-4)";"decimal";"urine";"measured";12218;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;0.052;0.138;"";"36455-72-8";"";"";"";;"HBM4EU Existing studies";10001;"Mycotoxins"
"en";"Parc";"Exposure marker";"Metals";"Metals";"b";"b";"Boron";"B";"Parc";;"decimal";"urine";"measured";11533;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;970;3000;"";"7440-42-8";"";"";"https://en.wikipedia.org/wiki/Boron";;"Parc Mixtures project";1013;"Metals"
"en";"Parc";"Exposure marker";"Metals";"Metals";"ba";"ba";"Barium";"Ba";"Parc";;"decimal";"urine";"measured";11527;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;1.97219659090909;7.45092659090909;"";"7440-39-3";"";"";"https://en.wikipedia.org/wiki/Barium";;"Parc Mixtures project";1013;"Metals"
"en";"Parc";"Exposure marker";"Metals";"Metals";"ba";"ba";"Barium";"Ba";"Parc";;"decimal";"blood";"measured";11527;"µg/L";"µg/L";"µg/L";"µg/L";;"";"";;;;0.874934016096399;1.64123046649971;"";"7440-39-3";"";"";"https://en.wikipedia.org/wiki/Barium";;"Parc Mixtures project";1013;"Metals"
"en";"Parc";"Exposure marker";"Polycyclic Aromatic Hydrocarbons (PAHs)";"Polycyclic Aromatic Hydrocarbons (PAHs)";"baa";"baa";"Benz[a]anthracene";"BaA";"HBM4EU";"parentcompound(s) = Benz[a]anthracene (BaA) (casnumber=56-55-3)";"decimal";"urine";"measured";11250;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";0;;;;;"";"56-55-3";"DXBHBZVCASKNBY-UHFFFAOYSA-N";"";"";;"HBM4EU Existing studies;Parc Mixtures project";1006;"Polycyclic Aromatic Hydrocarbons (PAHs)"
"en";"Parc";"Exposure marker";"Glycol ethers";"Glycol ethers";"baac";"baac";"2-butoxyacetic acid";"BAA";"Parc";"parentcompound(s) = 2-butoxyethanol (EGBE) (casnumber=111-76-2)";"decimal";"urine";"measured";16710;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;;;"";"2516-93-0";"AJQOASGWDCBKCJ-UHFFFAOYSA-N";"";"https://pubchem.ncbi.nlm.nih.gov/compound/Butoxyacetic-acid";;"Parc Mixtures project";3003;"Glycol ethers"
"en";"Parc";"Exposure marker";"Glycol ethers";"Glycol ethers";"baac";"baac";"2-butoxyacetic acid";"BAA";"Parc";"parentcompound(s) = 2-(2-(2-butoxyethoxy)ethoxy)ethanol (TEGBE) (casnumber=143-22-6)";"decimal";"urine";"measured";16710;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;;;"";"2516-93-0";"AJQOASGWDCBKCJ-UHFFFAOYSA-N";"";"https://pubchem.ncbi.nlm.nih.gov/compound/Butoxyacetic-acid";;"Parc Mixtures project";3003;"Glycol ethers"
"en";"Parc";"Exposure marker";"Glycol ethers";"Glycol ethers";"baac";"baac";"2-butoxyacetic acid";"BAA";"Parc";"parentcompound(s) = 2-(2-butoxyethoxy)ethanol (DEGBE) (casnumber=112-34-5)";"decimal";"urine";"measured";16710;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;;;"";"2516-93-0";"AJQOASGWDCBKCJ-UHFFFAOYSA-N";"";"https://pubchem.ncbi.nlm.nih.gov/compound/Butoxyacetic-acid";;"Parc Mixtures project";3003;"Glycol ethers"
"en";"Parc";"Exposure marker";"Polycyclic Aromatic Hydrocarbons (PAHs)";"Polycyclic Aromatic Hydrocarbons (PAHs)";"bap";"bap";"Benzo[a]pyrene";"BaP";"HBM4EU";"parentcompound(s) = Benzo[a]pyrene (BaP) (casnumber=50-32-8)";"decimal";"urine";"measured";11251;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";0;;;0.002;0.0012;"";"50-32-8";"FMMWHPNWAFZXNH-UHFFFAOYSA-N";"";"";;"HBM4EU Existing studies;Parc Mixtures project";1006;"Polycyclic Aromatic Hydrocarbons (PAHs)"
"en";"FHBM";"Effect marker";"Blood and blood composition";"";"baso_perc";"baso_perc";"Percentage Basophils";"%Baso";"Vito";;"decimal";"blood";"measured";1100;"%";"%";"%";"%";;"";"";1;;;;;"";"";"";"";"";;"ZWPFASPhase2";2007;"Blood and blood composition"
"en";"Parc";"Exposure marker";"Flame retardants";"Flame retardants";"bboehep";"bboehep";"2-hydroxyethyl bis(2-butoxyethyl) phosphate";"BBOEHEP";"HBM4EU";"parentcompound(s) = Tris(2-butoxyethyl) phosphate";"decimal";"urine";"measured";10716;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";0;;;0.031;0.228;"";"";"UQSRKBXTCXVEJL-UHFFFAOYSA-N";"";"";;"Parc Mixtures project";1004;"Flame retardants"
"en";"Parc";"Exposure marker";"Flame retardants";"Flame retardants";"bboephr";"bboephr";"Bis(2-butoxyethyl) phosphate";"BBOEP";"HBM4EU";"parentcompound(s) = Tris(2-butoxyethyl) phosphate";"decimal";"urine";"measured";10717;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";0;;;0.105;0.314125;"";"14260-97-0";"NNXWIPHZHATIFE-UHFFFAOYSA-M";"";"";;"HBM4EU Existing studies;Parc Mixtures project";1004;"Flame retardants"
"en";"Parc";"Exposure marker";"Flame retardants";"Flame retardants";"bcepms";"bcepms";"Bis(2-chloroethyl) phosphate";"BCEP";"HBM4EU";"parentcompound(s) = Bis(2-chloroethyl) phosphate (BCEP) (casnumber=3040-56-0)";"decimal";"urine";"measured";10710;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";0;;;0.338366666666667;3.60195;"";"3040-56-0";"JIRVRDYVMCZPLS-UHFFFAOYSA-N";"";"";;"HBM4EU Aligned studies;HBM4EU Existing studies;Parc Mixtures project";1004;"Flame retardants"
"en";"Parc";"Exposure marker";"Flame retardants";"Flame retardants";"bciphipp";"bciphipp";"1-hydroxy-2propyl bis (1-chloro-2-propyl) phosphate";"BCIPHIPP";"HBM4EU";"parentcompound(s) = Tris(2chloroisopropyl)phosphate (TCIPP)";"decimal";"urine";"measured";10718;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";0;;;0.596;6.225;"";"";"AUUWEOBTRZWTTC-UHFFFAOYSA-N";"";"";;"Parc Mixtures project";1004;"Flame retardants"
"en";"Parc";"Exposure marker";"Flame retardants";"Flame retardants";"bcippms";"bcippms";"Bis(1-chloro-2-propyl) phosphate";"BCIPP";"HBM4EU";"parentcompound(s) = Tris(2chloroisopropyl)phosphate (TCIPP)";"decimal";"urine";"measured";10700;"µg/L";"µg/L";"µg/L";"µg/L";;"";"";0;;;0.156875;1.674;"";"789440-10-4";"";"";"";;"HBM4EU Aligned studies;HBM4EU Existing studies;Parc Mixtures project";1004;"Flame retardants"
"en";"Parc";"Exposure marker";"Flame retardants";"Flame retardants";"bcippms";"bcippms";"Bis(1-chloro-2-propyl) phosphate";"BCIPP";"HBM4EU";"parentcompound(s) = Tris(2chloroisopropyl)phosphate (TCIPP)";"decimal";"blood";"measured";10700;"µg/L";"µg/L";"µg/L";"µg/L";;"";"";;;;;;"";"789440-10-4";"";"";"";;"Parc Mixtures project";1004;"Flame retardants"
"en";"Parc";"Exposure marker";"Flame retardants";"Flame retardants";"bdcippms";"bdcippms";"Bis(1,3-dichloro-2-propyl) phosphate";"BDCIPP";"HBM4EU";"parentcompound(s) = Tris(1,3-dichloro-2-propyl) phosphate (TDCIPP) (casnumber=13674-87-8)";"decimal";"urine";"measured";10701;"µg/L";"µg/L";"µg/L";"µg/L";;"";"";0;;;0.5696;3.727438;"";"72236-72-7";"";"";"";;"HBM4EU Aligned studies;HBM4EU Existing studies;Parc Mixtures project";1004;"Flame retardants"
